ледяной бане	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['баня', {'дат,ед', 'пр,ед'}]]
ледяной компресс	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['компресс', {'вин,ед', 'им,ед'}]]
ледяной смерти	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['смерть', {'вин,мн', 'дат,ед', 'пр,ед', 'род,ед', 'им,мн'}]]
ледяной кашей	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['каша', {'твор,ед'}]]
ледяное царство	[['ледяной', {'вин,ед', 'им,ед'}], ['царство', {'вин,ед', 'им,ед'}]]
ледяное ядро	[['ледяной', {'вин,ед', 'им,ед'}], ['ядро', {'вин,ед', 'им,ед'}]]
ледяным панцирем	[['ледяной', {'дат,мн', 'твор,ед'}], ['панцирь', {'твор,ед'}]]
ледяного лица	[['ледяной', {'род,ед', 'вин,ед'}], ['лицо', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяных скульптур	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['скульптура', {'род,мн'}]]
ледяной водой	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['вода', {'твор,ед'}]]
ледяной вершины	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['вершина', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяные струйки	[['ледяной', {'вин,мн', 'им,мн'}], ['струйка', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяного тороса	[['ледяной', {'род,ед', 'вин,ед'}], ['торос', {'род,ед'}]]
ледяной поверхностью	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['поверхность', {'твор,ед'}]]
