худые стихи	[['худой', {'вин,мн', 'им,мн'}], ['стих', {'вин,мн', 'им,мн'}]]
худой конецъ	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['конец', {'им,ед', 'вин,ед'}]]
худую руку	[['худой', {'вин,ед'}], ['рука', {'вин,ед'}]]
худую бабу	[['худой', {'вин,ед'}], ['баба', {'вин,ед'}]]
худую землю	[['худой', {'вин,ед'}], ['земля', {'вин,ед'}]]
худых детей	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['ребенок', {'вин,мн', 'род,мн'}]]
худое запястье	[['худой', {'им,ед', 'вин,ед'}], ['запястье', {'пр,ед', 'им,ед', 'вин,ед'}]]
худых дорог	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['дорогой', set()]]
худом стихосложении	[['худой', {'пр,ед'}], ['стихосложение', {'пр,ед'}]]
худой подросток	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['подросток', {'им,ед'}]]
худой приметой	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['примета', {'твор,ед'}]]
худых плеч	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['плечо', {'род,мн'}]]
худых коней	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['конь', {'вин,мн', 'род,мн'}]]
худую одежонку	[['худой', {'вин,ед'}], ['одежонка', {'вин,ед'}]]
худое учение	[['худой', {'им,ед', 'вин,ед'}], ['учение', {'им,ед', 'вин,ед'}]]
худой час	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['час', {'им,ед', 'вин,ед'}]]
худую услугу	[['худой', {'вин,ед'}], ['услуга', {'вин,ед'}]]
худую кисть	[['худой', {'вин,ед'}], ['кисть', {'им,ед', 'вин,ед'}]]
худые люди	[['худой', {'вин,мн', 'им,мн'}], ['человек', {'им,мн'}]]
худой фигурой	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['фигура', {'твор,ед'}]]
худой мир	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['мир', {'им,ед', 'вин,ед'}]]
худых поступок	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['поступок', {'им,ед', 'вин,ед'}]]
худой еврей	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['еврей', {'им,ед'}]]
худое расположение	[['худой', {'им,ед', 'вин,ед'}], ['расположение', {'им,ед', 'вин,ед'}]]
худых людях	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['человек', {'пр,мн'}]]
худое ремесло	[['худой', {'им,ед', 'вин,ед'}], ['ремесло', {'им,ед', 'вин,ед'}]]
худые товары	[['худой', {'вин,мн', 'им,мн'}], ['товар', {'вин,мн', 'им,мн'}]]
худого человека	[['худой', {'род,ед', 'вин,ед'}], ['человек', {'род,ед', 'вин,ед'}]]
