noun,holodnyj,ledyanoj,code
лапа,444,106,black
кусок,441,111,black
бездна,440,248,#065948
широта,433,55,#2f2f90
пальчик,433,47,black
ток,432,46,#2f2f90
окоп,427,197,#490d36
стол,424,44,#2f2f90
дно,420,210,black
игла,409,2485,#8316ac
отблеск,405,51,black
зеркало,402,319,#3e81fb
ступень,401,151,#1a7506
бесстрастие,398,40,#02b528
январь,395,43,#4c082f
сок,386,61,#d45b6c
свежесть,385,115,#0346a2
царство,384,634,#4fd92e
гладь,382,914,#89087d
кипяток,363,97,#57b576
любезность,361,45,#346119
нева,359,57,black
пучина,359,228,#2f2f90
кора,352,6668,#d21fc5
страсть,336,96,#3c7d96
кольцо,333,456,#104275
купание,331,67,black
ком,327,406,black
болото,321,143,#2f2f90
глыба,319,7996,#70a4ed
пластина,316,792,#2356f2
дерево,312,65,#d21fc5
лимонад,309,167,#d45b6c
пещера,298,2637,#2f2f90
одеяло,298,92,#c8be5e
неподвижность,295,72,black
оцепенение,292,171,black
гряда,289,275,#2356f2
ложе,288,209,#2f2f90
он,278,150,#2442bd
тюрьма,277,202,#ab7a8c
диск,270,70,#615fa8
порода,264,461,#d21fc5
высь,261,55,#2f2f90
образец,259,156,#57b576
броня,258,1609,#d21fc5
паркет,257,51,#2f2f90
одежда,255,51,#d21fc5
купель,251,1312,black
крашение,249,101,black
твердость,246,51,black
комок,243,254,black
кровать,241,74,#d3873b
плащ,233,43,#38e04c
нож,233,43,#22ba28
равнина,218,1461,#2f2f90
дорога,217,4929,#3f9d8f
долина,213,49,#2f2f90
площадь,209,60,#1cdfb4
сфера,205,451,#0d8b86
глазок,200,46,#2f2f90
бассейн,199,114,#2f2f90
покров,197,97940,#c8be5e
склон,196,883,#2f2f90
кирпич,194,47,#4bf0ec
путь,192,158,#ff0deb
дыра,175,44,#2f2f90
жилье,172,51,#f5db52
окрошка,166,84,#d45b6c
норд,164,108,#7a982a
звон,159,40,#346119
статуя,156,355,#fc63d5
вал,153,2080,#2356f2
глубь,151,55,#2f2f90
восторг,149,53,#b19694
столб,148,854,#ab7a8c
мурашка,147,50,#24ad7e
колонна,142,75,#ab7a8c
