noun,malenkij,kroshechnyj,code
каюта,1215,210,#6327f9
эстрада,1215,137,#88173b
территория,1211,190,#88173b
место,1211,194,#5ad6eb
номер,1208,78,#f9428c
ключик,1193,66,black
племянница,1192,61,#aba267
царство,1181,44,#f29561
рассказик,1170,129,black
искорка,1166,50,black
количество,1154,55,#7b9eaa
щель,1153,71,#fe1cb0
отрезок,1139,83,#88173b
кустик,1114,40,black
кабинетик,1108,184,black
штучка,1099,44,#dc53df
срок,1094,57,#5a3885
искра,1076,117,#8fd7bf
кроватка,1068,42,black
келья,1060,94,#6327f9
землянка,1038,69,#6327f9
фонарик,1036,54,black
девчушка,1035,41,black
кисть,1030,85,#3b36b2
пламень,1009,119,black
горсточка,992,45,black
шляпка,980,78,#9fd5fc
комнатенка,948,156,black
след,947,64,#c6acb9
заводик,943,49,black
изображение,928,44,#5d0079
самолетик,923,60,black
коридорчик,921,42,black
родинка,917,141,black
блокнот,908,44,#593e66
щелочка,896,167,black
зернышко,881,103,black
создание,876,364,#08e2d6
ранка,860,69,black
образок,836,54,black
полоска,820,92,black
оазис,811,110,#88173b
усилие,776,42,#da9c08
растение,773,83,#3168cd
мушка,767,131,#8e9fc8
клетушка,766,235,#6327f9
плацдарм,765,231,#88173b
флигелек,765,80,black
скамейка,729,116,#51b12b
цыпленок,720,41,#742e09
песчинка,684,105,black
радуга,678,42,#88173b
паровозик,662,75,black
зерно,646,59,#3b36b2
часики,644,116,black
хата,628,43,black
значок,626,40,#16bfc8
сказка,616,45,#75ac9b
комок,612,57,black
лоскуток,611,43,black
насекомое,609,189,#742e09
червячок,608,52,black
закуток,596,126,#88173b
часы,592,134,#2eb190
ломтик,589,109,black
шанс,555,89,black
палисадник,555,56,black
аппарат,540,41,#566299
лапка,532,60,#16bfc8
флакончик,531,98,black
платочек,527,112,black
балкон,518,43,#88173b
сени,510,83,#6327f9
движение,509,74,#fc078a
член,503,50,#665e9b
состояние,489,59,#283566
мальчуган,485,46,black
кулачка,479,43,black
блокнотик,476,57,black
личинка,474,64,#742e09
щелка,469,63,#88173b
муравей,439,42,#742e09
просвет,437,45,#da9c08
козырек,419,97,black
зайчонок,399,45,#742e09
лужайка,393,54,#88173b
морщинка,388,52,black
крепостца,383,62,black
буковка,380,65,black
слезинка,376,97,black
полуостров,355,41,#88173b
силуэт,354,59,#88173b
придаток,351,87,black
истина,348,126,black
каютка,340,74,black
губка,324,76,#5ad6eb
льдинка,313,56,black
флакон,303,43,#5ad6eb
меньшинство,297,268,black
уголек,290,66,black
семя,270,90,#f5611d
копытце,262,64,black
подобие,260,42,black
туфелька,244,94,black
пылинка,235,60,black
пуговка,231,92,#2904aa
микрофон,228,61,#5ad6eb
идейка,216,194,black
зрачок,209,53,black
надел,197,213,#88173b
башмачок,163,42,black
болонка,156,45,#742e09
туфля,149,74,black
реформа,144,75,#388a39
минутка,136,42,black
песик,122,57,black
переживание,90,117,#0ada0c
веснушка,85,101,black
окурок,69,55,#465516
отражение,66,45,#0c0ae8
соринка,53,70,black
николка,49,86,black
фортепьяно,41,53,black
