существительное,klein,winzig
Plättchen,2029,48
Dänemark,2001,51
Klümpchen,1991,103
Käfer,1909,53
Schatten,1881,73
Schluck,1857,165
Zipfel,1829,76
Andeutung,1820,48
Prisma,1774,57
Teilstück,1759,63
Höckerchen,1725,67
Bad,1706,44
Figürchen,1706,293
Möglichkeit,1703,139
Vorraum,1681,63
Thierchen,1668,138
Inselchen,1606,151
Bildschirm,1579,65
Spanne,1563,291
Pflänzchen,1561,102
Bäumchen,1559,40
Keim,1558,306
Majorität,1550,45
Bächlein,1542,54
Tasse,1528,69
Enklave,1467,42
Ruck,1410,53
Vorgarten,1398,88
Spore,1397,102
Gedanke,1377,43
Stübchen,1375,67
Zeitspanne,1375,333
Schüppchen,1374,140
Fältchen,1360,48
Funke,1349,181
Zimmerchen,1346,248
Schreibtisch,1341,48
Luftbläschen,1305,97
Embryo,1294,46
Katastrophe,1289,54
Köpfchen,1277,49
Biß,1249,66
Abbild,1236,64
Gläschen,1235,56
Sarg,1219,43
Blick,1213,47
Kamera,1210,49
Schälchen,1208,68
Plätzchen,1190,63
Fensterchen,1190,114
Meldung,1187,47
Handvoll,1176,138
Zwerg,1169,108
Schlafzimmer,1128,51
Letter,1078,62
Parasit,1071,49
Flur,1068,82
Alge,1037,138
Scheibchen,1003,62
Härchen,987,173
Kryställchen,983,153
Ration,969,45
Händchen,966,76
Ameise,909,189
Sternchen,906,44
Fünkchen,894,253
Einschluß,887,156
Kabine,885,109
Menschlein,875,229
Fliege,872,71
Samenkorn,858,92
Stäubchen,843,316
Bakterium,827,52
Männlein,819,43
Mücke,808,45
Wassertropfen,771,41
Hoffnungsschimmer,759,71
Wassertröpfchen,758,133
Resultat,749,49
Lichtpunkt,717,55
Kerlchen,711,44
Kreatur,687,45
Rudiment,668,54
Überrest,649,41
Verschlag,630,56
Kämmerchen,589,41
Füßchen,575,85
Kriställchen,571,48
Aspekt,538,65
Gegner,520,48
Handschrift,499,54
Stärkekörnchen,466,44
Mosaiksteinchen,428,48
Sandkorn,411,63
Hauch,405,47
Schrittchen,401,49
Hotelzimmer,400,49
Eckchen,371,46
Prise,364,43
Schräubchen,361,46
Fädchen,326,44
Schweißperle,309,54
Restchen,248,40
Kristallenen,233,45
Nädelchen,229,50
Äuglein,221,64
Chip,191,43
Fingerchen,172,41
Sonnensystem,139,47
Täßchen,79,55
Staubkorn,40,55
