noun,bednyj,nischij,colour,code
родственница,3475,10,black,other
невеста,3303,10,#8c19e9,hum:kin$/hum
рыцарь,3283,10,#1d0853,hum
дитя,3168,10,#1d0853,hum
ученик,3166,10,#1d0853,hum
мама,2904,10,#807c99,hum:kin
сын,2902,10,#2ebb3b,animal$@
ремесленник,2709,10,#1d0853,hum
жилище,2473,10,#f2719b,constr:@build
состояние,2397,10,#7fc9ca,psych/physiol
евгений,2362,10,black,other
больной,2346,10,#1d0853,hum
сиротка,2318,10,black,other
сестра,2172,10,#1d0853,hum
макар,2158,10,#204fa4,asp
смесь,2104,10,#52865b,stuff
жертва,2041,10,#1d0853,hum
казак,2004,10,#1d0853,hum
человечество,1912,10,black,other
содержание,1891,10,#fb0424,poss:приобретение
обстановка,1816,10,black,other
муж,1809,10,#1d0853,hum
регион,1718,10,#1d472d,space
марат,1676,10,black,other
священник,1668,10,#1d0853,hum
таня,1666,10,black,other
фауна,1641,10,black,other
сосед,1520,10,#1d0853,hum
автор,1516,10,#1d0853,hum
тело,1447,10,#2a8d07,thing
крестьянка,1430,10,black,other
поселянин,1415,10,black,other
иван,1409,10,black,other
двор,1392,10,#e96f47,org
офицер,1388,10,#70d05e,tool/tool:game
головушка,1377,10,black,other
растительность,1354,10,#cb56e3,hair
горожанин,1332,10,#1d0853,hum
воспитанница,1324,10,black,other
дехканин,1319,10,#c9d7b6,hum/prof
учащийся,1305,10,#1d0853,hum
грешник,1302,10,#1d0853,hum
комплекс,1299,10,black,other
няня,1268,10,#c9d7b6,hum/prof
девица,1239,10,#1d0853,hum
нация,1220,10,#55d983,org$
помещик,1218,10,#1d0853,hum
хозяин,1187,10,#1d0853,hum
приход,1166,10,#fb0424,poss:приобретение
птица,1156,10,#1d1d42,hum$
конь,1150,10,#a46071,tool
член,1146,10,#23a934,word
положение,1134,10,#e93ddb,text
дворянка,1122,10,black,other
земледелец,1106,10,#c9d7b6,hum/prof
ум,1102,10,#1d0853,hum
папа,1071,10,#1d0853,hum
матушка,1043,10,#1d0853,hum
мария,1041,10,black,other
фермер,1021,10,#1d0853,hum
страдалец,1020,10,#1d0853,hum
состав,1005,10,#8aa6cc,tool:transp
язык,994,10,#1d0853,hum
дева,993,10,#1d0853,hum
маша,989,10,black,other
читатель,931,10,#1d0853,hum
инвентарь,917,10,#e93ddb,text
месторождение,902,10,#1d472d,space
гусар,893,10,#ae2fd2,animal
артист,891,10,#1d0853,hum
товарищ,878,10,#1d0853,hum
сословие,870,10,#c2a38c,group
среда,864,10,#1d472d,space
казачество,853,10,black,other
анна,842,10,black,other
литература,840,10,black,other
квартира,839,10,#1d472d,space
малютка,838,10,#2a8d07,thing
прах,837,10,#52865b,stuff
немец,831,10,#2b7220,hum:etn
мещанин,814,10,#1d0853,hum
погребение,810,10,black,other
сапожник,802,10,#1d0853,hum
изгнанник,774,10,#1d0853,hum
руд,765,10,black,other
церковь,764,10,#7dae0d,constr
николай,764,10,black,other
йорик,763,10,black,other
собака,763,10,#ae2fd2,animal
домик,761,10,#f2719b,constr:@build
лошадь,756,10,#1d1d42,hum$
сад,755,10,#e96f47,org
комнатка,752,10,black,other
домишко,749,10,black,other
остаток,743,10,black,other
создание,742,10,#96b85e,hum:supernat
она,738,10,black,other
монастырь,728,10,#77bb4f,org/constr
мужичок,727,10,black,other
невольник,722,10,#1d0853,hum
кислород,709,10,#52865b,stuff
домохозяйство,709,10,black,other
разум,707,10,#900c6f,ment
путник,705,10,#1d0853,hum
птичка,703,10,#47e05b,sign
работник,701,10,#c9d7b6,hum/prof
челн,698,10,#8aa6cc,tool:transp
бабушка,679,10,#1d0853,hum
дядя,667,10,#1d0853,hum
девка,662,10,#1d0853,hum
существо,650,10,#652f18,hum$/animal$/hum:supernat$/living
клим,628,10,black,other
юрта,627,10,#7dae0d,constr
герой,618,10,#1d0853,hum
тварь,616,10,#1d0853,hum
общество,601,10,#e96f47,org
мусульманин,601,10,#2b7220,hum:etn
петр,598,10,black,other
городок,588,10,#a46071,tool
пушкин,588,10,black,other
сырье,585,10,black,other
проситель,581,10,#1d0853,hum
сородич,581,10,#ae2fd2,animal
том,573,10,#e93ddb,text
писатель,558,10,#c9d7b6,hum/prof
деревце,557,10,#b14856,plant
негр,557,10,#1d0853,hum
вкрапленность,556,10,black,other
театр,553,10,#e96f47,org
квартирка,551,10,black,other
охотник,547,10,#1d0853,hum
род,544,10,#a2bbde,like
дехканство,541,10,black,other
княжна,539,10,#1d0853,hum
саша,532,10,black,other
ольга,531,10,black,other
казах,529,10,#2b7220,hum:etn
тетя,514,10,#1d0853,hum
павел,514,10,black,other
страдалица,513,10,black,other
избушка,512,10,black,other
ученый,510,10,#c9d7b6,hum/prof
мозг,510,10,#900c6f,ment
запас,509,10,black,other
кочевник,503,10,#1d0853,hum
житие,502,10,#e93ddb,text
пахарь,501,10,#c9d7b6,hum/prof
набор,501,10,#af848c,access
отечество,498,10,#1d472d,space
христианин,497,10,#1d0853,hum
платье,497,10,#344189,tool:cloth
наташа,496,10,black,other
мамочка,490,10,#1d0853,hum
аул,488,10,#1d472d,space
русский,488,10,#2b7220,hum:etn
подданный,487,10,#1d0853,hum
портной,487,10,#c9d7b6,hum/prof
рифма,486,10,black,other
король,484,10,#1d0853,hum
якут,481,10,#2b7220,hum:etn
дуня,480,10,black,other
доктор,460,10,#1d0853,hum
духовенство,460,10,black,other
ужин,458,10,#880e41,food
барышня,457,10,#1d0853,hum
безумец,456,10,#1d0853,hum
концентрат,452,10,#52865b,stuff
могила,451,10,#1d0853,hum
цветок,450,10,#b14856,plant
участок,448,10,#e96f47,org
слог,448,10,black,other
катя,447,10,black,other
вера,445,10,#900c6f,ment
крошка,444,10,#4d596f,impact
андрей,441,10,black,other
киргиз,439,10,#2b7220,hum:etn
фантазия,436,10,#f49824,workmus
тетка,433,10,#1d0853,hum
сергей,432,10,black,other
шляхтич,430,10,#1d0853,hum
провинциал,429,10,#1d0853,hum
акакий,428,10,black,other
улица,426,10,#1d472d,space
фосфорит,426,10,#52865b,stuff
селянин,426,10,#1d0853,hum
обряд,425,10,black,other
нищий,422,10,#1d0853,hum
капитан,422,10,#1d0853,hum
арат,422,10,#c9d7b6,hum/prof
миша,421,10,black,other
песок,420,10,#04cead,stuff/food
подруга,420,10,#1d0853,hum
жилец,420,10,#1d0853,hum
шляхта,419,10,black,other
жених,419,10,#8c19e9,hum:kin$/hum
швея,419,10,#c9d7b6,hum/prof
господин,417,10,#1d0853,hum
вдовица,417,10,#1d0853,hum
фон,417,10,#1e1777,unit
узник,417,10,#1d0853,hum
прихожанин,413,10,#1d0853,hum
купец,412,10,#1d0853,hum
скопление,409,10,black,other
газ,407,10,#52865b,stuff
молодежь,404,10,black,other
вы,404,10,black,other
солдатик,403,10,#40c372,toy/tool
украина,401,10,black,other
вася,400,10,black,other
убийца,399,10,#1d0853,hum
ребята,398,10,black,other
отчизна,396,10,#1d472d,space
элемент,394,10,#52865b,stuff
коля,394,10,black,other
воображение,392,10,#900c6f,ment
дама,386,10,#3e7eba,tool/tool:card
материал,384,10,#52865b,stuff
дворянство,382,10,black,other
генерал,380,10,#21c919,hum/armpos
глаз,377,10,black,other
область,374,10,#1d472d,space
скотовод,374,10,#c9d7b6,hum/prof
антон,373,10,black,other
сакля,371,10,#7dae0d,constr
профессор,370,10,#1d0853,hum
флора,369,10,black,other
надя,367,10,black,other
граф,366,10,#1d0853,hum
нога,365,10,black,other
василий,365,10,black,other
инок,363,10,#1d0853,hum
красавица,360,10,black,other
обыватель,360,10,#1d0853,hum
нина,359,10,black,other
