noun,holodnyj,ledyanoj,colour,code
дом,2913,2715,#1d897d,org
дрожь,2896,430,#ee4b5d,physiol
река,2827,1832,#712856,quant:max
трещина,2749,163,#f8f0e3,space
пустота,2706,337,#f8f0e3,space
ключ,2694,258,#b4e9df,sign
улыбка,2686,288,#01e1f7,manif:emot
брызги,2628,1100,#c64267,stuff
испарина,2590,114,#c64267,stuff
ужас,2532,517,#3f543e,psych:emot
луч,2512,109,#f8f0e3,space
облако,2506,1221,black,other
край,2480,444,#f8f0e3,space
сырость,2442,511,black,other
пояс,2441,635,#f8f0e3,space
степь,2397,269,#f8f0e3,space
голос,2385,3470,#ab3785,ment
квартира,2371,185,#f8f0e3,space
ладонь,2342,342,black,other
пар,2279,74,#c64267,stuff
струйка,2271,576,black,other
вежливость,2210,594,black,other
железо,2191,101,#c64267,stuff
зал,2169,79,#606b2e,room
мрак,2144,334,#5509db,light/neg
постель,2118,373,#0415b8,tool:@bedding
лоб,2072,207,#b8a02c,hum
спокойствие,2011,2193,#3f543e,psych:emot
песок,2010,59,#40186d,stuff/food
изба,1964,51,#ca710d,constr:@build
жидкость,1951,43,#b02f3d,stuff/liq
подвал,1942,46,#606b2e,room
ярость,1937,59,#3f543e,psych:emot
сибирь,1900,140,black,other
безразличие,1899,206,black,other
мгла,1881,886,#5509db,light/neg
ветерок,1871,362,black,other
молчание,1867,1392,black,other
север,1823,105,#f8f0e3,space
коридор,1773,244,#f8f0e3,space
луна,1767,94,#faa841,space/astr
среда,1659,55,#f8f0e3,space
могила,1641,691,#b8a02c,hum
плита,1638,801,#f8f0e3,space
фаза,1625,681,black,other
сон,1618,161,#ee4b5d,physiol
пленка,1609,1069,#c64267,stuff
глубина,1587,211,#aac23c,degr
ручей,1581,400,#cbe183,space/reservoir
тьма,1561,404,#bc7340,numcoll
выражение,1549,233,#ac3977,text
влага,1487,341,#c64267,stuff
квас,1443,222,#3b723b,stuff/food/liq
грязь,1407,296,#c64267,stuff
пространство,1342,1457,#f8f0e3,space
смерть,1340,193,#712856,quant:max
прикосновение,1318,219,#742df9,контакт
ядро,1306,4670,#ae0a06,tool
ненависть,1301,126,black,other
сумрак,1300,42,#6a8673,light
печка,1286,41,#5be0b0,tool:device
пыль,1283,1205,#c64267,stuff
усмешка,1276,81,#01e1f7,manif:emot
объятие,1261,747,#742df9,контакт
слеза,1242,304,#c64267,stuff
вино,1218,336,#3b723b,stuff/food/liq
мурашки,1203,205,black,other
заря,1198,69,#642656,sound
ловушка,1198,258,#ae0a06,tool
озеро,1197,640,#cbe183,space/reservoir
мысль,1193,40,#ab3785,ment
город,1187,210,#f8f0e3,space
океан,1187,407,#cbe183,space/reservoir
нога,1185,284,black,other
модель,1153,349,#056ecf,hum/prof
атмосфера,1138,215,#329aa0,unit
напиток,1113,170,#3b723b,stuff/food/liq
цвет,1088,47,#2064ed,color
окно,1087,688,#5dd3cd,time
водка,1084,425,#3b723b,stuff/food/liq
поле,1082,36639,#f8f0e3,space
сияние,1074,84,#6a8673,light
синева,1063,209,#2064ed,color
карцер,1060,244,#606b2e,room
тоска,1041,81,#3f543e,psych:emot
простор,1018,2920,#5a117c,?
ирония,1016,68,#92d10f,psych
склад,1010,2081,#754fcf,constr:@hut
тишина,1000,402,#7e5c20,sound/neg
темнота,998,61,#b8a02c,hum
россия,983,65,black,other
частица,979,5903,black,other
взор,972,230,#5ec1ce,ment?
ливень,969,211,#c64267,stuff
погреб,968,398,#d4a54e,constr/room
родник,936,129,#0a85af,space/spring
вихорь,929,297,black,other
смесь,926,175,#c64267,stuff
даль,924,44,#f8f0e3,space
водица,920,135,black,other
страх,890,114,#712856,quant:max
температура,883,46,#c50a2a,temper/physiol
ясность,880,64,black,other
баня,880,3782,#679a27,org/constr:@build
высота,868,333,#1a1d15,size/param
речка,854,145,#cbe183,space/reservoir
учтивость,810,58,black,other
скала,797,999,#f8f0e3,space
каша,762,1508,#ab3785,ment
сумерки,743,48,#e28740,weather/light
бетон,740,52,#c64267,stuff
тундра,737,149,#f8f0e3,space
крыло,737,51,black,other
ответ,725,61,#ac3977,text
эфир,725,91,#c64267,stuff
форма,722,46,#ae0a06,tool
цветок,713,406,#6e2bfe,plant
рыба,709,508,#ac3977,text
сквозняк,707,659,#75bb40,weather
лужа,699,234,#f8f0e3,space
полоса,686,341,#14c3a1,time:period
тяжесть,686,45,#27a431,thing
гора,678,15209,#f8f0e3,space
водичка,669,50,black,other
яма,659,141,#3fff99,room/constr:@build
грудь,654,118,black,other
берег,643,2394,#f8f0e3,space
шампанское,638,316,#3b723b,stuff/food/liq
озноб,637,403,#ec5477,physiol/manif:disease
рассол,631,68,#c64267,stuff
покой,609,204,#ba393b,psych/neg
жижа,597,294,#b02f3d,stuff/liq
вершина,595,1960,black,other
оболочка,590,1918,#c64267,stuff
порыв,588,126,#cce0e0,impact
искра,572,62,#7f99c6,manif
чувство,552,62,#3f543e,psych:emot
одиночество,533,265,black,other
прослойка,525,1094,#dc5861,group
кухня,503,67,#47d6af,food
безмолвие,487,1032,#686845,отсутствие
дуновение,480,105,#397993,move
маска,476,282,#c64267,stuff
серебро,473,60,#c64267,stuff
спутник,467,469,#5be0b0,tool:device
дуло,465,41,black,other
поцелуй,464,164,#c8d676,воздействие на человека
язык,462,911,#b8a02c,hum
материал,457,558,#c64267,stuff
лапа,444,106,black,other
кусок,441,111,black,other
бездна,440,248,#712856,quant:max
широта,433,55,#f8f0e3,space
пальчик,433,47,black,other
ток,432,46,#f8f0e3,space
окоп,427,197,#068472,space/constr
стол,424,44,#f8f0e3,space
дно,420,210,black,other
игла,409,2485,#755480,hair$
отблеск,405,51,black,other
зеркало,402,319,#729269,param$
ступень,401,151,#642656,sound
бесстрастие,398,40,#bebb3a,humq
январь,395,43,#5366bc,time:month
сок,386,61,#3b723b,stuff/food/liq
свежесть,385,115,#7e33ff,weather/temper
царство,384,634,#ff38e4,org$/space
гладь,382,914,#5327fb,pattern
кипяток,363,97,#b8a02c,hum
любезность,361,45,#70ab68,speech
нева,359,57,black,other
пучина,359,228,#f8f0e3,space
кора,352,6668,#c64267,stuff
страсть,336,96,#393827,workmus
кольцо,333,456,#f501a7,put
купание,331,67,black,other
ком,327,406,black,other
болото,321,143,#f8f0e3,space
глыба,319,7996,#c6f90b,stone
пластина,316,792,#a834b7,form
дерево,312,65,#c64267,stuff
лимонад,309,167,#3b723b,stuff/food/liq
пещера,298,2637,#f8f0e3,space
одеяло,298,92,#0415b8,tool:@bedding
неподвижность,295,72,black,other
оцепенение,292,171,black,other
гряда,289,275,#a834b7,form
ложе,288,209,#f8f0e3,space
он,278,150,#2af190,hum:kin$/hum
тюрьма,277,202,#e15568,constr
диск,270,70,#5e2ff5,tool/supporttext$
порода,264,461,#c64267,stuff
высь,261,55,#f8f0e3,space
образец,259,156,#b8a02c,hum
броня,258,1609,#c64267,stuff
паркет,257,51,#f8f0e3,space
одежда,255,51,#c64267,stuff
купель,251,1312,black,other
крашение,249,101,black,other
твердость,246,51,black,other
комок,243,254,black,other
кровать,241,74,#eee8e0,tool:furn
плащ,233,43,#3dd3f1,tool:cloth
нож,233,43,#53aab4,tool:instr/tablesetting
равнина,218,1461,#f8f0e3,space
дорога,217,4929,#397993,move
долина,213,49,#f8f0e3,space
площадь,209,60,#c9e1c7,room/space
сфера,205,451,#9414a9,form:geom
глазок,200,46,#f8f0e3,space
бассейн,199,114,#f8f0e3,space
покров,197,97940,#0415b8,tool:@bedding
склон,196,883,#f8f0e3,space
кирпич,194,47,#b4e9df,sign
путь,192,158,#8b221e,asp
дыра,175,44,#f8f0e3,space
жилье,172,51,#606b2e,room
окрошка,166,84,#3b723b,stuff/food/liq
норд,164,108,#75bb40,weather
звон,159,40,#70ab68,speech
статуя,156,355,#413359,workart:скульт
вал,153,2080,#a834b7,form
глубь,151,55,#f8f0e3,space
восторг,149,53,#3f543e,psych:emot
столб,148,854,#e15568,constr
мурашка,147,50,#f3a7b5,animal
колонна,142,75,#e15568,constr
решетка,142,66,#ae0a06,tool
холм,142,613,#f8f0e3,space
грань,142,42,#f8f0e3,space
свод,138,346,#ac3977,text
шар,137,307,#a834b7,form
иголка,137,567,#755480,hair$
колодец,134,149,#1e9c41,constr/space
материк,132,1048,#f8f0e3,space
арктика,131,58,#f8f0e3,space
остров,127,6802,#f8f0e3,space
невозмутимость,119,46,black,other
дворец,117,1145,#e15568,constr
кристалл,115,12699,black,other
образование,115,2951,#11d241,spot
месиво,114,257,#0662cc,stuff/food:fodder
твердь,114,170,#f8f0e3,space
муть,114,47,#c64267,stuff
осколок,113,955,black,other
комочек,111,152,black,other
омут,108,43,#f8f0e3,space
ад,108,379,#f8f0e3,space
саван,107,49,#6723ed,tool:cloth$
чашка,106,42,#a834b7,form
столбик,106,40,#a834b7,form
поднебесье,104,44,#f8f0e3,space
тиски,103,437,#8e5928,tool:instr?
буря,103,119,#7f99c6,manif
зерно,102,547,#47d6af,food
избушка,101,139,black,other
кислота,100,88,#c049a3,taste
блестка,100,43,#6a8673,light
круг,99,219,#a834b7,form
вьюга,96,43,#75bb40,weather
нутро,90,44,#f8f0e3,space
изморозь,90,45,#c64267,stuff
вихор,90,50,#a834b7,form
прозрачность,88,80,black,other
крест,87,94,#b4e9df,sign
ступня,87,53,black,other
сквознячок,87,92,black,other
мантия,84,72,#c64267,stuff
град,83,112,#712856,quant:max
пропасть,81,209,#712856,quant:max
коготь,74,94,black,other
они,71,228,black,other
изваяние,70,60,#413359,workart:скульт
клин,63,2976,#f3e3f5,space/plot
ось,63,62,#1d897d,org
хрусталь,62,60,#c64267,stuff
полюс,59,52,#f8f0e3,space
замок,59,184,#f8f0e3,space
купол,58,2988,black,other
громада,58,977,#8b221e,asp
прорубь,56,601,#f8f0e3,space
толща,55,1727,#a834b7,form
стихия,54,212,#75bb40,weather
обруч,54,273,#ae0a06,tool
шарик,53,570,#f3a7b5,animal
водопад,52,58,#f8f0e3,space
башня,52,54,#e15568,constr
судорога,52,40,#ee4b5d,physiol
цилиндр,52,281,#3dd3f1,tool:cloth
сугроб,48,40,black,other
мешок,47,338,#b8a02c,hum
площадка,46,846,#f8f0e3,space
плен,46,1183,black,other
паутина,44,48,#c64267,stuff
рябь,44,632,#ee4b5d,physiol
покрывало,43,72,#0415b8,tool:@bedding
цемент,42,226,#c64267,stuff
кружка,42,126,#ae0a06,tool
обломок,42,462,#f123a2,остаток
война,315393,10,#fa2ec2,inter
прокатка,49291,10,#a01cbf,impact:обработка
время,46580,10,#14c3a1,time:period
оружие,42548,10,#e90eee,tool:weapon
климат,24512,10,#5ef5d0,asp:weather
погода,23792,10,#75bb40,weather
фронт,17418,10,#f8f0e3,space
деформация,17417,10,black,other
состояние,17191,10,#571e10,psych/physiol
обработка,13579,10,black,other
плазма,12863,10,#c64267,stuff
штамповка,11796,10,black,other
катод,9724,10,black,other
газ,9123,10,#c64267,stuff
течение,8940,10,#397993,move
весна,8592,10,#b869a8,time/time:season
закуска,7844,10,#f5cf70,food/блюдо
место,7807,10,#ae0a06,tool
полугодие,6955,10,#5dd3cd,time
помещение,6895,10,#f501a7,put
лето,5606,10,#b869a8,time/time:season
год,5451,10,#7cb0a7,time:age
копчение,5445,10,#b70721,food/блюдо/изделие
чай,5307,10,#3b723b,stuff/food/liq
сезон,4808,10,#14c3a1,time:period
сварка,4769,10,black,other
рассудок,4769,10,#ab3785,ment
способ,4553,10,#8b221e,asp
осень,4491,10,#b869a8,time/time:season
отношение,4404,10,#ac3977,text
выдавливание,4289,10,black,other
прессование,4263,10,black,other
ум,4195,10,#b8a02c,hum
конец,4188,10,#a28fcf,be:disapp
прокат,4091,10,#fb8cfa,impact/move
вторжение,3838,10,black,other
сени,3828,10,#606b2e,room
нейтрон,3810,10,black,other
мясо,3801,10,#c64267,stuff
высадка,3702,10,black,other
утро,3640,10,#9d05ed,action
половина,3533,10,#a058e9,hum:kin
спай,3497,10,black,other
голова,3477,10,#b8a02c,hum
наблюдение,3277,10,black,other
жестокость,3080,10,#2440b4,behav
отверждение,3000,10,black,other
парник,2989,10,black,other
район,2965,10,#f8f0e3,space
волочение,2945,10,black,other
источник,2651,10,#82bdbc,tool:device:@light
условие,2590,10,#e1600e,причина
компонент,2542,10,black,other
электрон,2513,10,black,other
любопытство,2492,10,#bebb3a,humq
сталь,2399,10,#c64267,stuff
церковь,2393,10,#e15568,constr
разум,2342,10,#ab3785,ment
спирт,2237,10,#c64267,stuff
сторона,2197,10,#cd8344,asp:ment
блюдо,2186,10,#47d6af,food
дутье,2151,10,#397993,move
ковка,2143,10,black,other
пора,2096,10,#5dd3cd,time
подложка,2092,10,black,other
стратификация,2088,10,black,other
труп,2006,10,black,other
участок,1977,10,#1d897d,org
телятина,1966,10,#40186d,stuff/food
щека,1959,10,black,other
тень,1952,10,#b8a02c,hum
внимание,1926,10,#ab3785,ment
печь,1925,10,#5be0b0,tool:device
нос,1885,10,black,other
эмиссия,1840,10,black,other
работа,1806,10,#5a241a,workart/workmus/workdram/workcin/text
ремонт,1788,10,#77df18,изменение:каузация
водоснабжение,1747,10,black,other
рассудочность,1734,10,black,other
расчетливость,1723,10,black,other
рассвет,1688,10,#5dd3cd,time
пятно,1678,10,black,other
деформирование,1665,10,black,other
вытяжка,1647,10,#c64267,stuff
ион,1645,10,black,other
мрамор,1626,10,#c64267,stuff
вещество,1609,10,#c64267,stuff
бешенство,1505,10,#3f543e,psych:emot
красота,1504,10,black,other
котлета,1468,10,#f5cf70,food/блюдо
сарай,1462,10,#754fcf,constr:@hut
картошка,1435,10,#6e2bfe,plant
ацетон,1425,10,#b02f3d,stuff/liq
сдержанность,1373,10,black,other
эгоизм,1367,10,#bebb3a,humq
барак,1361,10,#754fcf,constr:@hut
двигатель,1351,10,#5be0b0,tool:device
отчаяние,1332,10,#3f543e,psych:emot
полумаска,1327,10,#ae0a06,tool
хранение,1327,10,black,other
сапожник,1323,10,#b8a02c,hum
землянка,1309,10,#606b2e,room
храм,1275,10,#f8f0e3,space
электрод,1223,10,#ae0a06,tool
эгоист,1220,10,#b8a02c,hum
анализ,1198,10,#ab3785,ment
кофе,1166,10,#6e2bfe,plant
трава,1137,10,#6e2bfe,plant
ужин,1133,10,#47d6af,food
пепел,1093,10,#c64267,stuff
вагон,1090,10,#522c9f,tool:transp
цех,1080,10,#1d897d,org
дождик,1045,10,#c64267,stuff
правка,1038,10,#ac3977,text
резерв,1036,10,#b8a02c,hum
злоба,1032,10,#3f543e,psych:emot
примочка,1026,10,#b02f3d,stuff/liq
улица,997,10,#f8f0e3,space
пища,983,10,#47d6af,food
оттенок,981,10,#2064ed,color
утренник,977,10,#75bb40,weather
сомнение,977,10,#ab3785,ment
суп,969,10,#9b9cc1,stuff/food/liq/блюдо
баранина,945,10,#40186d,stuff/food
туча,935,10,#712856,quant:max
москва,924,10,black,other
зола,922,10,#c64267,stuff
ствол,921,10,#ae0a06,tool
наклеп,903,10,black,other
свечение,897,10,black,other
метод,891,10,black,other
н,888,10,black,other
ручка,879,10,#6d15d0,tool:instr
лед,879,10,#c64267,stuff
гигант,860,10,#b8a02c,hum
амбар,859,10,#e15568,constr
наблюдатель,853,10,#b8a02c,hum
петербург,839,10,black,other
дым,834,10,#c64267,stuff
отчужденность,831,10,black,other
тигель,827,10,#ae0a06,tool
экстракция,823,10,black,other
решимость,815,10,#5aebfa,psych:volit
натура,804,10,#056ecf,hum/prof
жизнь,799,10,#c689a0,be:exist
гранит,797,10,#c64267,stuff
насмешка,793,10,#70ab68,speech
логика,785,10,#ab3785,ment
контейнер,766,10,#ae0a06,tool
смех,759,10,#01e1f7,manif:emot
красавица,758,10,black,other
курица,749,10,#47d6af,food
кожа,740,10,#c64267,stuff
цинизм,738,10,#bebb3a,humq
асфальт,728,10,#f8f0e3,space
бензол,725,10,#b02f3d,stuff/liq
атом,721,10,black,other
лестница,705,10,#e15568,constr
размышление,702,10,#ab3785,ment
предмет,695,10,#ab3785,ment
достоинство,687,10,#bebb3a,humq
злость,683,10,#3f543e,psych:emot
резка,682,10,#e0a5bf,impact:деление на части
синтез,678,10,#ab3785,ment
масло,671,10,#c64267,stuff
риторика,664,10,black,other
женщина,664,10,#b8a02c,hum
