noun,krasnyj,krasnovatyj,colour,code
обжиг,806,237,black,other
освещение,804,149,#e6e331,ment
штрих,743,101,black,other
кора,728,370,#dc7886,stuff
туф,711,46,#dc7886,stuff
холм,699,47,#3ae1ff,space
налет,628,415,#f83a7c,дополнитель
куст,614,62,#af7d78,org
тень,574,209,#447e07,hum
искорка,567,91,black,other
белка,485,195,#425f92,animal
жар,464,45,#c674fc,psych:emot
металл,401,86,#dc7886,stuff
основание,366,196,#dc7886,stuff
зрачок,360,40,black,other
волосок,342,189,#4a0010,hair
вершина,335,176,black,other
марс,330,97,black,other
загар,305,265,#a71f8c,stuff$
обрыв,305,46,#3ae1ff,space
грязь,300,40,#dc7886,stuff
накал,289,164,black,other
мгла,275,381,#45d9ff,light/neg
сумрак,244,350,#7818ff,light
стебель,241,226,black,other
ветвь,220,123,black,other
древесина,219,90,#dc7886,stuff
побег,214,187,#3f8a34,move
бронза,200,155,#dc7886,stuff
белок,191,63,#044723,stuff/thing
кожица,179,44,#dc7886,stuff
сердцевина,170,47,#dc7886,stuff
листочек,154,76,black,other
корка,150,61,#dc7886,stuff
колорит,146,51,#2effcc,color
железка,145,62,black,other
подпалина,120,42,black,other
чешуйка,96,65,#ec61ce,hair$
пар,95,47,#dc7886,stuff
щетина,93,42,#4a0010,hair
полумрак,86,167,#7818ff,light
бородка,85,77,#4a0010,hair
супесь,73,174,#dc7886,stuff
черешок,73,119,black,other
знамя,127166,10,#817a56,sign:знамя
флаг,112499,10,#817a56,sign:знамя
уголок,104861,10,#75e7c1,sign
карандаш,72513,10,#b44271,tool:instr
нить,70926,10,#337194,form
вино,52513,10,#df96be,stuff/food/liq
смещение,46437,10,black,other
девица,36157,10,#447e07,hum
