noun,syroj,mokryj,colour,code
сигарета,52,40,#8784a7,tool
куча,51,83,#8ce06a,quant:max
тропа,51,202,#afed9d,space
палец,51,2273,#8784a7,tool
копна,50,112,black,other
балка,50,66,#afed9d,space
цветок,50,486,#8f42a9,plant
тряпочка,49,752,black,other
конец,49,279,#bbd264,be:disapp
кочка,49,165,#afed9d,space
брезент,48,946,#619d85,stuff
они,47,46,black,other
ботинок,47,850,#6d05af,tool:cloth:@boot
обувь,47,627,black,other
папироса,46,40,#8784a7,tool
она,46,46,black,other
работа,45,349,#2e41a7,workart/workmus/workdram/workcin/text
мешок,45,1267,#3e126a,hum
голова,44,3840,#3e126a,hum
баба,44,84,#3e126a,hum
даль,44,46,#afed9d,space
пень,42,41,#3e126a,hum
чернота,41,44,black,other
пеленка,40,1012,#91fd3b,linen
