noun,zolotoj,zolotistyj,colour,code
муха,324,51,#bc71c5,animal
слой,321,42,#953a67,group
шелк,317,882,#355d9f,stuff
чешуйка,313,367,#d2bff7,hair$
одуванчик,306,58,#a84d5d,plant
отсвет,290,370,black,other
оттенок,288,4254,#c0cf2e,color
зайчик,285,44,#d8bac9,light
тело,282,285,#ffb4b9,thing
пух,278,248,#034074,hair
початок,276,42,#5bcab8,fruit/food
загар,269,834,#2a71da,stuff$
песочек,268,45,black,other
вечер,254,99,#e8b02d,action
лак,253,190,#355d9f,stuff
струйка,251,53,black,other
перелив,244,159,#0ec07d,sound
покрывало,244,48,#7c4c67,tool:@bedding
дым,243,152,#355d9f,stuff
бородка,237,432,#034074,hair
тень,235,196,#3af518,hum
окантовка,235,44,#630941,space
стекло,230,94,#355d9f,stuff
цветочек,219,49,#6d750a,hum$@
жатва,214,70,#cfdf44,time
глазок,211,97,#630941,space
лазурь,210,81,#355d9f,stuff
гроздь,204,141,black,other
металл,201,116,#355d9f,stuff
груда,198,63,#382c05,quant:max
лучик,194,60,black,other
щетина,191,186,#034074,hair
масть,190,683,#c0cf2e,color
облачко,185,235,black,other
стружка,178,117,#355d9f,stuff
напиток,175,389,#c60434,stuff/food/liq
зарево,170,158,#d8bac9,light
рябь,170,175,#1c105d,physiol
марево,168,202,#355d9f,stuff
свеча,166,52,#8c629d,форма
бок,164,74,#630941,space
даль,163,96,#630941,space
бровь,159,581,black,other
слюда,148,93,#355d9f,stuff
чуб,148,307,#034074,hair
волосик,146,192,black,other
кора,144,67,#355d9f,stuff
тепло,140,41,#64eae0,psych:emot
косичка,137,49,black,other
луг,134,51,#630941,space
усик,133,267,#034074,hair
пена,131,57,#355d9f,stuff
лютик,130,111,#a84d5d,plant
мерцание,128,69,black,other
мгла,119,171,#1e5e42,light/neg
стебель,118,47,black,other
занавес,115,73,#884328,tool
масло,115,102,#355d9f,stuff
точечка,111,44,black,other
бархат,110,138,#355d9f,stuff
зрачок,105,194,black,other
овал,104,42,#20be9c,form:geom/space
сок,101,124,#c60434,stuff/food/liq
веер,95,45,#0a1516,form
пятнышко,87,61,black,other
челка,87,62,#034074,hair
корочка,78,1449,#ba37e8,doc
смородина,71,868,#a84d5d,plant
груша,69,70,#a84d5d,plant
скирда,65,48,black,other
парик,64,73,#884328,tool
сумрак,63,217,#d8bac9,light
шевелюра,61,151,#034074,hair
стерня,61,131,#f6b298,space/plot
дыня,60,91,#a84d5d,plant
жир,58,46,#355d9f,stuff
улей,57,48,#884328,tool
пиво,56,122,#c60434,stuff/food/liq
влага,55,174,#355d9f,stuff
налет,53,294,#8c5c40,дополнитель
охра,53,1136,#355d9f,stuff
гамма,52,173,black,other
копна,48,128,black,other
вкрапление,48,43,#a132b4,изменение положения?
серебро,47,750,#355d9f,stuff
чай,43,175,#c60434,stuff/food/liq
обои,42,158,#355d9f,stuff
сумерки,42,57,#ed9ba4,weather/light
столп,41,44,#3af518,hum
