noun,zolotoj,zolotistyj,colour,code
разлив,276,10,#b09543,weather
деталь,275,10,black,other
спираль,274,10,#b176e8,form
мишень,273,10,#8814ea,tool
мужик,273,10,#42be89,hum
чернь,273,10,#325505,pattern
ящик,273,10,#94911b,org
подсолнух,271,10,#fe8735,fruit/food
богиня,271,10,#42be89,hum
шпилька,270,10,#db2bc1,speech
пудра,269,10,#95212d,stuff
мир,268,10,#3c7418,inter
путь,267,10,#032bb5,asp
фикс,266,10,#ee3441,ment
бык,266,10,#237265,animal
посох,266,10,black,other
балдахин,264,10,black,other
солнышко,264,10,#42be89,hum
эмблема,264,10,#4a85e5,sign
трубушка,263,10,black,other
бордюр,263,10,#fad539,constr/space
выражение,262,10,#8c222c,text
монисто,262,10,#794840,access
водопад,260,10,#1f05e5,space
футляр,259,10,#8814ea,tool
саркофаг,258,10,#b433f0,constr
башня,258,10,#b433f0,constr
мастер,258,10,#42be89,hum
пробел,258,10,#99b309,?
источник,258,10,#c2b4dc,tool:device:@light
алтарь,257,10,#23fa22,space/constr
свирель,256,10,black,other
унитаз,256,10,#8814ea,tool
минута,255,10,#439d8f,unit
пороша,254,10,#95212d,stuff
брусок,252,10,#e59104,tool/tool:instr?
колыма,252,10,black,other
дитя,251,10,#42be89,hum
кольчуга,251,10,#c9d549,tool/tool:cloth$
чарочка,250,10,black,other
горшок,250,10,#8814ea,tool
бокал,250,10,#91d4cf,tool:dish
песо,249,10,#7111eb,money:banknote
жизнь,248,10,#2ece22,be:exist
мяч,248,10,#8814ea,tool
возможность,247,10,#3b2cfc,mod
пятирублевка,246,10,#7111eb,money:banknote
орешек,245,10,black,other
тишина,244,10,#ea3517,sound/neg
рассвет,244,10,#096786,time
перевязь,244,10,black,other
король,243,10,#42be89,hum
таз,243,10,#fa5abc,tool/tool:dish
кокарда,242,10,#4a85e5,sign
ефимок,241,10,black,other
трость,240,10,#0a7c8d,tool:палка
возраст,240,10,#096786,time
ложе,240,10,#1f05e5,space
ножницы,240,10,#ffec83,tool:instr
оковы,237,10,#336731,tool:узы
часик,237,10,black,other
медалистка,236,10,black,other
фикса,235,10,black,other
паук,234,10,#f09f26,hum$
ободочек,233,10,black,other
пожар,233,10,#dfe321,manif
алдан,232,10,black,other
пятирублевик,232,10,black,other
семя,231,10,#95212d,stuff
лень,231,10,#9f0e8e,humq
юрта,230,10,#b433f0,constr
ребенок,230,10,#42be89,hum
молодость,230,10,#e9e084,time:age
ладья,228,10,#aad97a,tool/tool:game
распятие,228,10,#b4bbad,impact
крючок,228,10,#9814c3,форма
прут,227,10,#a43fa0,thing
перегородка,226,10,#b433f0,constr
кровля,226,10,black,other
камзол,226,10,#e43167,tool:cloth
утка,226,10,#db2bc1,speech
паутинка,225,10,#95212d,stuff
краб,225,10,#4a85e5,sign
разработка,225,10,#1f05e5,space
пирамида,225,10,#8814ea,tool
лодка,222,10,#3d30d2,tool:transp
ренет,222,10,black,other
колечка,222,10,black,other
наперсток,221,10,#8814ea,tool
призер,219,10,#42be89,hum
крап,218,10,black,other
бубенчик,218,10,black,other
фибула,217,10,black,other
ветка,217,10,#1f05e5,space
палочка,217,10,#12b3e4,living
оперение,216,10,#efe01e,hair$
шпиц,216,10,#237265,animal
простор,215,10,#99b309,?
канделябр,214,10,#8814ea,tool
гас,214,10,black,other
штрих,213,10,black,other
качество,213,10,black,other
носилки,212,10,#8814ea,tool
верба,212,10,#95f3c1,plant
головушка,211,10,black,other
броня,211,10,#95212d,stuff
кушак,211,10,#794840,access
фонтан,210,10,#f70d71,tool:device/constr
платок,210,10,#96d437,linen/access
ниточка,208,10,black,other
уголь,208,10,#8814ea,tool
кузница,206,10,#1f05e5,space
свод,206,10,#8c222c,text
изваяние,205,10,#50ed73,workart:скульт
блюдце,205,10,#aba6f7,space/form
бабочка,203,10,#794840,access
башмачок,203,10,black,other
верхушка,202,10,#ee3441,ment
талер,201,10,#7111eb,money:banknote
курица,201,10,#85d1cd,food
материя,201,10,#95212d,stuff
панцирь,201,10,#95212d,stuff
кортик,201,10,#9c02f9,tool:weapon
колодка,201,10,#8814ea,tool
панагия,200,10,black,other
острие,200,10,black,other
столбик,200,10,#b176e8,form
весна,200,10,#a2dc18,time/time:season
размен,199,10,black,other
талант,199,10,#42be89,hum
карандаш,197,10,#ffec83,tool:instr
поведение,197,10,black,other
чашечка,197,10,#b176e8,form
список,197,10,#8c222c,text
верхи,196,10,#82c903,sound
арабеска,196,10,#8c222c,text
пром,195,10,black,other
кишлак,195,10,#1f05e5,space
кладовая,194,10,#1f05e5,space
оковка,194,10,black,other
юань,194,10,#7111eb,money:banknote
терем,193,10,#6b7de4,room
упряжь,193,10,black,other
легенда,192,10,#8c222c,text
зародыш,191,10,black,other
липа,191,10,#a43fa0,thing
кусок,191,10,black,other
пенснэ,191,10,black,other
мундштук,190,10,#8814ea,tool
копи,190,10,#1f05e5,space
шуба,190,10,#efe01e,hair$
обертка,189,10,black,other
гирлянда,189,10,black,other
работник,189,10,#c14f38,hum/prof
ц,188,10,black,other
желудь,187,10,#5dc2aa,fruit/food:fodder
чернильница,187,10,#8814ea,tool
стихарь,185,10,#e43167,tool:cloth
лавр,185,10,#4a85e5,sign
оторочка,184,10,#95212d,stuff
карниз,184,10,#1f05e5,space
зигзаг,183,10,#b176e8,form
секира,183,10,black,other
ход,182,10,#1f05e5,space
яблоня,182,10,#95f3c1,plant
караван,182,10,black,other
обод,182,10,black,other
доля,181,10,black,other
амулет,178,10,#794840,access
скрижаль,177,10,black,other
колпачок,177,10,black,other
модель,177,10,#c14f38,hum/prof
работа,176,10,#862aaf,workart/workmus/workdram/workcin/text
слон,176,10,#f09f26,hum$
бахрама,175,10,black,other
хронометр,175,10,#55cbb3,tool:device:@measur:metr
горло,175,10,black,other
клубок,174,10,#0163da,physiol:@painful
капелька,174,10,#42be89,hum
ярмо,174,10,#8814ea,tool
лотос,173,10,#95f3c1,plant
роса,173,10,#95212d,stuff
воля,172,10,#466c99,psych:volit/space
кукушка,172,10,#f09f26,hum$
пчелка,171,10,black,other
ливрея,171,10,#e43167,tool:cloth
сентябрь,170,10,#34f210,time:month
уголек,170,10,black,other
шмель,168,10,#237265,animal
прокладка,168,10,#8814ea,tool
петля,168,10,#8814ea,tool
залежь,167,10,#1f05e5,space
пушка,167,10,#16be75,tool:device
десятирублевик,167,10,black,other
катерина,167,10,black,other
уголок,166,10,#4a85e5,sign
метель,166,10,#b09543,weather
куча,166,10,#f8eda9,quant:max
библиотека,165,10,#94911b,org
коллекция,165,10,black,other
ступень,165,10,#82c903,sound
сено,165,10,#30bfbc,stuff/food:fodder
штриховка,164,10,black,other
кадр,162,10,#42be89,hum
поветь,162,10,#83dba0,space/room
тиара,161,10,#e43167,tool:cloth
аи,161,10,black,other
клеймо,160,10,#4a85e5,sign
катод,160,10,black,other
куст,160,10,#94911b,org
кадило,159,10,#8814ea,tool
роща,159,10,#1f05e5,space
сапог,159,10,#0e3742,tool:cloth:@boot
бум,158,10,#8814ea,tool
вспышка,157,10,#c2b4dc,tool:device:@light
хоругвь,157,10,#b8ef35,sign:знамя
спица,157,10,black,other
аналой,157,10,#8814ea,tool
беседка,156,10,#b433f0,constr
луковка,155,10,black,other
опилки,155,10,black,other
масштаб,155,10,#a1bb2b,param$
церковь,154,10,#b433f0,constr
старина,154,10,#42be89,hum
иена,154,10,#7111eb,money:banknote
деньга,154,10,#7111eb,money:banknote
строчка,154,10,#b4bbad,impact
голубь,153,10,#f09f26,hum$
темляк,153,10,#8814ea,tool
порог,153,10,#20dd7b,level
литье,153,10,#a37ab2,impact:обработка
кредит,153,10,#cd7e9e,poss?:приобретение
молния,153,10,#8814ea,tool
донышко,153,10,black,other
рот,153,10,#42be89,hum
ядро,153,10,#8814ea,tool
жупан,153,10,#e43167,tool:cloth
березка,152,10,black,other
тропа,152,10,#1f05e5,space
пайцзу,152,10,black,other
иволга,151,10,#237265,animal
видение,150,10,#e9d999,perc
заяц,150,10,#42be89,hum
снурка,150,10,black,other
молоток,150,10,#42be89,hum
тигель,149,10,#8814ea,tool
колье,148,10,#794840,access
голосок,148,10,black,other
трубонька,147,10,black,other
пятак,147,10,#7111eb,money:banknote
солонка,147,10,#91d4cf,tool:dish
палка,146,10,#8814ea,tool
зернь,145,10,black,other
иконка,145,10,black,other
ванна,144,10,#8814ea,tool
лапа,144,10,black,other
жаба,144,10,#c433f0,disease
рамочка,144,10,black,other
теща,144,10,#8799e0,hum:kin
самовар,143,10,#01440e,tool:dish$/tool:device
порфира,143,10,#e43167,tool:cloth
дарик,143,10,black,other
осколок,143,10,black,other
треножник,143,10,#8814ea,tool
скорлупа,142,10,#95212d,stuff
прибор,142,10,#8814ea,tool
гусь,142,10,#f09f26,hum$
проба,141,10,#95212d,stuff
руд,141,10,black,other
плитка,141,10,#16be75,tool:device
шляпка,141,10,#e43167,tool:cloth
повод,141,10,#8814ea,tool
ручеек,139,10,black,other
колодец,138,10,#fad539,constr/space
древо,138,10,#c85a2c,plant/form
скань,138,10,black,other
потолок,137,10,black,other
брактеат,137,10,black,other
р,136,10,black,other
трубынька,136,10,black,other
поручи,136,10,black,other
веко,135,10,black,other
фонарь,135,10,#c2b4dc,tool:device:@light
плита,135,10,#1f05e5,space
этикетка,135,10,#4a85e5,sign
живот,135,10,#2ece22,be:exist
девочка,135,10,#8e78db,animal$
стезя,134,10,#1f05e5,space
фронт,133,10,#1f05e5,space
зубочистка,133,10,#ffec83,tool:instr
соль,132,10,#95212d,stuff
мираж,132,10,#ee3441,ment
воротничок,132,10,black,other
подарок,132,10,#a43fa0,thing
кровь,132,10,#6e5fce,stuff/liq
песня,131,10,#82c903,sound
нрав,131,10,black,other
закон,131,10,#8c222c,text
поделка,130,10,#a43fa0,thing
мать,130,10,#42be89,hum
наплечник,130,10,#ed41b0,tool/tool:cloth
раковина,129,10,#1f05e5,space
колчан,129,10,#8814ea,tool
случай,129,10,#33dcb3,time:moment
костюм,128,10,#e43167,tool:cloth
полуимпериал,128,10,black,other
аттестат,128,10,#057694,doc
тюрьма,128,10,#b433f0,constr
якорек,128,10,black,other
овес,127,10,#95f3c1,plant
обшивка,126,10,#95212d,stuff
корова,126,10,#f09f26,hum$
погоня,126,10,#0792c1,move
сокровищница,126,10,#6b7de4,room
совет,126,10,#94911b,org
разведка,125,10,#94911b,org
парус,125,10,#8814ea,tool
копытце,125,10,black,other
флаг,125,10,#b8ef35,sign:знамя
ранет,125,10,#95f3c1,plant
вклад,125,10,#5c61dc,poss
люлька,125,10,#8814ea,tool
звук,124,10,#6e29e4,speech?
черта,123,10,#af43c8,предел
ковчежец,123,10,black,other
песета,122,10,#7111eb,money:banknote
барабан,122,10,#8814ea,tool
биржа,122,10,#1f05e5,space
брегет,122,10,black,other
нос,121,10,black,other
всадник,121,10,#42be89,hum
шест,121,10,#8814ea,tool
зверь,121,10,#f09f26,hum$
узел,120,10,#8814ea,tool
башмак,120,10,#8814ea,tool
сезон,120,10,#2517af,time:period
эскудо,120,10,#7111eb,money:banknote
бисер,119,10,black,other
лорнетка,119,10,black,other
фрак,119,10,#e43167,tool:cloth
лягушка,119,10,#237265,animal
кол,118,10,#c67374,schoolmark
пика,118,10,#599a0c,inter$
мгновение,118,10,#33dcb3,time:moment
косица,118,10,black,other
клен,117,10,#95f3c1,plant
коробка,117,10,#8814ea,tool
все,117,10,black,other
херувим,117,10,#42be89,hum
флакон,116,10,#8814ea,tool
буковка,116,10,black,other
раствор,116,10,#95212d,stuff
шанс,116,10,black,other
веночек,116,10,black,other
ромб,115,10,#4a85e5,sign
квадратик,115,10,black,other
лафет,114,10,black,other
околыш,114,10,black,other
безвкусица,114,10,#e29200,отсутствие
дуб,114,10,#42be89,hum
собака,113,10,#237265,animal
правда,113,10,#ee3441,ment
дама,113,10,#70039e,tool/tool:card
находка,112,10,#a43fa0,thing
товар,112,10,#a43fa0,thing
макушка,112,10,black,other
братина,111,10,#91d4cf,tool:dish
вихорь,111,10,black,other
складень,111,10,#1170f5,workart
екатерина,111,10,black,other
дождик,110,10,#95212d,stuff
эмаль,110,10,#95212d,stuff
котел,109,10,#1f05e5,space
бунчук,109,10,#c161e7,tool:mus
постель,109,10,#5dcb2f,tool:@bedding
сотня,108,10,#7111eb,money:banknote
сторона,108,10,#182224,asp:ment
газырь,107,10,black,other
шрифт,107,10,black,other
лик,107,10,#4b333d,внешний вид
гинея,106,10,black,other
хохолок,106,10,black,other
планка,105,10,#1875cb,tool:пластина
бусинка,105,10,black,other
пронизка,105,10,black,other
змей,105,10,#42be89,hum
друг,105,10,#42be89,hum
это,105,10,black,other
полусабля,104,10,black,other
мантия,104,10,#95212d,stuff
газ,104,10,#95212d,stuff
челнок,104,10,#c14f38,hum/prof
что,104,10,black,other
индикация,103,10,black,other
портрет,103,10,#8c222c,text
хоромы,103,10,#b433f0,constr
шарф,102,10,#292e8e,tool:cloth/access
стропило,102,10,#8814ea,tool
жучок,100,10,#8814ea,tool
область,100,10,#1f05e5,space
ракета,100,10,#3d30d2,tool:transp
подковка,100,10,black,other
мотылек,100,10,#237265,animal
травка,99,10,#95212d,stuff
радость,99,10,#87776d,hum@$
очкур,99,10,black,other
осел,98,10,#f09f26,hum$
набор,98,10,#794840,access
напыление,98,10,black,other
ожирение,97,10,#0b0276,physiol
ободочка,97,10,black,other
соха,97,10,#983442,tool:instr:@implement
галушка,97,10,black,other
чувство,97,10,#ce91d9,psych:emot
игрушка,97,10,#42be89,hum
замочек,97,10,black,other
ведро,96,10,#439d8f,unit
волокно,96,10,#95212d,stuff
царь,96,10,#42be89,hum
разводы,96,10,#325505,pattern
козел,95,10,#8814ea,tool
летопись,95,10,#8c222c,text
наследство,94,10,#b86daa,poss:приобретение
иван,94,10,black,other
удила,94,10,black,other
отражение,94,10,#35e7e0,ment?
пиастр,93,10,#7111eb,money:banknote
ассигновка,92,10,black,other
цехин,92,10,black,other
октябрь,92,10,#34f210,time:month
шишак,92,10,#c9d549,tool/tool:cloth$
локотник,92,10,black,other
теснение,91,10,black,other
кандалы,91,10,#336731,tool:узы
камка,91,10,#95212d,stuff
полка,91,10,#b4bbad,impact
клубочек,91,10,black,other
ковшик,90,10,#91d4cf,tool:dish
москва,90,10,black,other
завитушка,90,10,#b176e8,form
мостик,90,10,#23fa22,space/constr
лодочка,90,10,#0e3742,tool:cloth:@boot
сокол,90,10,#f09f26,hum$
щиток,89,10,#c9d549,tool/tool:cloth$
костыль,89,10,#8814ea,tool
филигрань,89,10,#325505,pattern
бедро,89,10,black,other
погончик,89,10,#794840,access
диплом,89,10,#8c222c,text
курочка,89,10,#237265,animal
государство,89,10,#6e850c,org$/space
восход,89,10,#096786,time
талисман,89,10,#48c4ea,sign/access
стриж,89,10,#237265,animal
афродита,88,10,black,other
венера,88,10,black,other
пернач,88,10,black,other
рукомойник,87,10,#8814ea,tool
иерусалим,86,10,black,other
вы,86,10,black,other
омет,86,10,black,other
подушка,86,10,#8814ea,tool
кувшинчик,86,10,black,other
трубка,85,10,#8814ea,tool
веточка,85,10,black,other
бенгалия,85,10,black,other
реформа,85,10,#79c898,изменение:каузация
макрель,84,10,#df14ee,animal:@fish/food
горсть,84,10,black,other
пуля,84,10,#d17274,tool:@shell
сын,84,10,#a8af36,animal$@
писгуда,83,10,black,other
черепаха,83,10,#237265,animal
удав,82,10,#237265,animal
челн,82,10,#3d30d2,tool:transp
миллион,82,10,#504ab4,card
ослепительность,82,10,black,other
штучка,82,10,#42be89,hum
удочка,82,10,#c0635b,tool:instr/tool
жена,82,10,#42be89,hum
пронизь,82,10,black,other
посев,81,10,#95212d,stuff
дубль,81,10,black,other
пространство,81,10,#1f05e5,space
лава,81,10,#466e81,move:body
ухо,81,10,#8814ea,tool
юнец,80,10,#42be89,hum
навершие,80,10,black,other
капитель,80,10,black,other
гниение,80,10,black,other
горлышко,79,10,#1f05e5,space
калач,79,10,#7bab62,food/изделие
порука,79,10,#a0522d,inter:содействие
гиря,79,10,#8814ea,tool
баланс,78,10,#8c222c,text
рычаг,77,10,#ffec83,tool:instr
серпик,77,10,black,other
четки,77,10,#794840,access
пустыня,77,10,#1f05e5,space
клава,77,10,black,other
куколка,76,10,#237265,animal
зарница,76,10,#b85f51,weather/light
шишок,76,10,black,other
ливр,76,10,black,other
чудо,76,10,black,other
коготь,76,10,black,other
ая,75,10,black,other
номисм,75,10,black,other
луда,75,10,black,other
ушко,75,10,#32791b,stuff/food
разрез,74,10,#1f05e5,space
залежи,74,10,black,other
кастрюля,74,10,#91d4cf,tool:dish
полат,73,10,black,other
пезо,73,10,black,other
пудель,73,10,#237265,animal
шкура,73,10,#42be89,hum
гостиная,73,10,#6b7de4,room
циферблат,73,10,black,other
мис,73,10,black,other
равновесие,72,10,#f98a2f,psych:emot?
кран,72,10,#16be75,tool:device
кресть,72,10,black,other
пагода,72,10,#b433f0,constr
налив,72,10,#90ad13,put
виньетка,72,10,#1170f5,workart
воин,72,10,#c14f38,hum/prof
эталон,72,10,#8814ea,tool
космы,71,10,#e883b2,hair
вещичка,71,10,black,other
ремесло,71,10,black,other
истина,71,10,black,other
прошлое,70,10,#096786,time
лоза,70,10,#b176e8,form
инфляция,70,10,black,other
стержень,70,10,black,other
добыча,70,10,#5c61dc,poss
рецепт,70,10,#2f7d80,speech?/ment
сверкание,70,10,black,other
запон,70,10,black,other
запад,69,10,#1f05e5,space
они,69,10,black,other
купель,69,10,black,other
копеечка,69,10,black,other
фол,69,10,black,other
генофонд,69,10,black,other
динарий,69,10,black,other
увядание,69,10,black,other
барашек,69,10,#95212d,stuff
лапоть,69,10,#0e3742,tool:cloth:@boot
ряса,69,10,#e43167,tool:cloth
холм,69,10,#1f05e5,space
плавник,69,10,black,other
браслетик,68,10,black,other
сундучок,68,10,black,other
молоточек,68,10,#8814ea,tool
пуговичка,68,10,black,other
медальончик,68,10,black,other
флорина,67,10,black,other
лена,67,10,black,other
молчание,67,10,black,other
пурпур,67,10,#380553,color
колосок,67,10,black,other
мушка,67,10,#e06e48,spot
соты,67,10,black,other
конец,67,10,#ecbf09,be:disapp
д,66,10,black,other
прялка,66,10,#16be75,tool:device
змеевик,66,10,#95f3c1,plant
верблюд,66,10,#237265,animal
череп,66,10,black,other
субстанция,66,10,#95212d,stuff
будущее,66,10,#096786,time
чары,65,10,#ecba9c,psych
пар,65,10,#95212d,stuff
шнурочек,65,10,black,other
бюст,65,10,#50ed73,workart:скульт
главка,65,10,black,other
драгоценность,65,10,#20fe43,thing/access
куполок,65,10,black,other
вуаль,64,10,#6bcfb6,light
стрекоза,64,10,#b63187,tool$:transp
всплеск,64,10,#82c903,sound
тюльпан,64,10,#95f3c1,plant
право,64,10,black,other
очипок,64,10,black,other
луидор,64,10,black,other
корыто,64,10,#8814ea,tool
частокол,64,10,#b433f0,constr
бочка,64,10,#4f76bb,move/move:fig
грифон,64,10,#2490dc,hum:supernat
соловей,63,10,#237265,animal
катализатор,63,10,#95212d,stuff
сидение,63,10,black,other
просвет,63,10,#99b309,?
молот,63,10,#8814ea,tool
небосклон,63,10,#1f05e5,space
орудепение,63,10,black,other
полдень,63,10,#1f05e5,space
материал,63,10,#95212d,stuff
семечко,63,10,#fe8735,fruit/food
дрема,63,10,#0b0276,physiol
питие,63,10,black,other
палатка,63,10,#b433f0,constr
цъпи,63,10,black,other
мрежа,62,10,black,other
аппликация,62,10,#1170f5,workart
внутренность,62,10,#1f05e5,space
метелка,62,10,#ffec83,tool:instr
ограда,62,10,#b433f0,constr
проводник,62,10,#c14f38,hum/prof
топь,61,10,#1f05e5,space
заколка,61,10,#3983f3,tool/access
сапожок,61,10,black,other
кость,61,10,#95212d,stuff
зной,61,10,#5dd22a,weather/temper
привеска,61,10,black,other
евангелие,60,10,#8c222c,text
букашка,60,10,#f09f26,hum$
кукла,60,10,#42be89,hum
коридор,60,10,#1f05e5,space
перила,60,10,#8814ea,tool
лохмотья,60,10,black,other
башка,60,10,#42be89,hum
вооружение,60,10,#9c02f9,tool:weapon
украина,60,10,black,other
футлярчик,60,10,black,other
линь,59,10,#8814ea,tool
шишечка,59,10,black,other
бремя,59,10,#a43fa0,thing
поколение,59,10,black,other
трупик,59,10,black,other
старик,59,10,#42be89,hum
работница,59,10,#c14f38,hum/prof
предвещательница,59,10,black,other
чайник,59,10,#42be89,hum
протез,59,10,#8814ea,tool
свисток,59,10,#ab7f85,sound:@asp
чепрак,59,10,#95212d,stuff
подносик,59,10,black,other
косынка,59,10,#e43167,tool:cloth
семисвечник,58,10,black,other
чалма,58,10,#e43167,tool:cloth
ружье,58,10,#9c02f9,tool:weapon
бармы,58,10,#621f77,tool:cloth$
петушки,58,10,black,other
гектар,58,10,black,other
волюшка,58,10,black,other
орган,58,10,#94911b,org
книжечка,58,10,black,other
кувшинка,58,10,#95f3c1,plant
скарабей,57,10,black,other
пальто,57,10,#e43167,tool:cloth
рай,57,10,#1f05e5,space
вставка,57,10,#90ad13,put
оса,57,10,#237265,animal
разделка,57,10,black,other
тавлея,57,10,black,other
карман,57,10,#1f05e5,space
завеса,57,10,#4b333d,внешний вид
кабинет,57,10,#5e6a00,group
снег,57,10,#b09543,weather
ячмень,56,10,#95f3c1,plant
атлас,56,10,#95212d,stuff
топорик,56,10,black,other
словечко,56,10,black,other
поляна,56,10,#1f05e5,space
жито,56,10,#95f3c1,plant
бить,56,10,black,other
лобок,56,10,black,other
заставка,56,10,#1170f5,workart
трезубец,56,10,#769291,tool:weapon/tool:instr
благодать,56,10,black,other
древко,56,10,black,other
штат,56,10,#8c222c,text
штука,56,10,#a43fa0,thing
слава,55,10,#db2bc1,speech
цепка,55,10,#794840,access
тарелочка,55,10,black,other
гвоздик,55,10,#b176e8,form
латынь,55,10,#8b0436,язык
приятель,55,10,#42be89,hum
денежка,55,10,#7111eb,money:banknote
прямоугольник,54,10,#4a85e5,sign
муж,54,10,#42be89,hum
дарохранительница,54,10,black,other
пушечка,54,10,black,other
обручик,54,10,black,other
функция,54,10,black,other
принцип,54,10,#ee3441,ment
царица,54,10,#237265,animal
заклепка,54,10,#8814ea,tool
девка,54,10,#42be89,hum
лошадь,54,10,#f09f26,hum$
стяг,54,10,#b8ef35,sign:знамя
старуха,54,10,#42be89,hum
жнивье,53,10,#1f05e5,space
гонг,53,10,#5a15eb,tool:mus/tool
кудель,53,10,black,other
це,53,10,black,other
сталь,53,10,#95212d,stuff
барельеф,53,10,#50ed73,workart:скульт
серафим,53,10,#2490dc,hum:supernat
подкладка,53,10,#95212d,stuff
шахта,53,10,#1f05e5,space
радуга,53,10,#1f05e5,space
пистолет,53,10,#9c02f9,tool:weapon
оруднение,53,10,black,other
па,52,10,black,other
таб,52,10,black,other
печаль,52,10,#ce91d9,psych:emot
фетиш,52,10,#a43fa0,thing
ток,52,10,#1f05e5,space
богатырь,52,10,#42be89,hum
обвод,52,10,#9814c3,форма
речь,52,10,#db2bc1,speech
бубенец,52,10,black,other
дань,52,10,#5c61dc,poss
плетень,52,10,#b433f0,constr
сани,52,10,#3d30d2,tool:transp
гравировка,52,10,#b10834,text/workart
крупка,52,10,black,other
липовость,52,10,black,other
бахром,52,10,black,other
тополь,52,10,#95f3c1,plant
пальма,51,10,#95f3c1,plant
таракашка,51,10,#237265,animal
сито,51,10,#8814ea,tool
нагрудник,51,10,#c9d549,tool/tool:cloth$
жало,51,10,black,other
цъпочка,51,10,black,other
столик,51,10,#deb5ca,tool:furn
янтарь,51,10,#95212d,stuff
стакан,51,10,#91d4cf,tool:dish
лепнина,51,10,black,other
колено,51,10,#0792c1,move
зонт,51,10,#8814ea,tool
древность,51,10,#8c222c,text
циркуль,51,10,#ffec83,tool:instr
оруденеиия,51,10,black,other
свиток,51,10,#b176e8,form
церер,51,10,black,other
полено,51,10,black,other
ворот,50,10,#16be75,tool:device
силуэт,50,10,#1f05e5,space
клинок,50,10,black,other
ориентир,50,10,black,other
каменья,50,10,black,other
бульон,50,10,#a8b23c,stuff/food/liq/блюдо
вес,50,10,#a069eb,param
онон,50,10,black,other
звъзда,50,10,black,other
полотнище,50,10,black,other
босоножка,50,10,#42be89,hum
мозги,50,10,#85d1cd,food
состав,50,10,#3d30d2,tool:transp
пронизок,50,10,black,other
коврик,50,10,black,other
лимон,49,10,#95f3c1,plant
мошна,49,10,#8814ea,tool
кремль,49,10,#fad539,constr/space
главк,49,10,#94911b,org
великолепие,49,10,#4b333d,внешний вид
коемочка,49,10,black,other
багрянец,49,10,#380553,color
игра,49,10,#99b309,?
морда,49,10,black,other
профиль,49,10,#1f05e5,space
ремешок,49,10,#794840,access
шифр,49,10,#4a85e5,sign
подсолнечник,48,10,#95f3c1,plant
банк,48,10,#d784db,space/tool
зрелость,48,10,#e9e084,time:age
неволя,48,10,black,other
каравай,48,10,#7bab62,food/изделие
кузнечик,48,10,#237265,animal
гриф,48,10,#8c222c,text
прибрежье,48,10,black,other
зубец,48,10,black,other
эфир,48,10,#95212d,stuff
жаворонок,48,10,#7bab62,food/изделие
ценность,48,10,#20fe43,thing/access
мамочка,48,10,#42be89,hum
основание,48,10,#95212d,stuff
мазок,47,10,#c9c737,Sres
масса,47,10,#f8eda9,quant:max
погода,47,10,#b09543,weather
капсула,47,10,#8814ea,tool
панцырь,47,10,black,other
краешек,47,10,black,other
обещание,47,10,#db2bc1,speech
система,47,10,#16be75,tool:device
конек,47,10,#ee3441,ment
вулкан,47,10,#1f05e5,space
висюлька,46,10,#794840,access
ея,46,10,black,other
баранка,46,10,#8814ea,tool
драхма,46,10,#7111eb,money:banknote
колпак,46,10,#42be89,hum
голубятня,46,10,#0507bf,constr:@hut
полигон,46,10,#1f05e5,space
особа,46,10,#42be89,hum
моло,46,10,black,other
лунница,46,10,black,other
оно,46,10,black,other
журавль,46,10,#bdfaf5,tool/tool:device
чурочка,46,10,black,other
стог,46,10,black,other
вт,45,10,black,other
ветер,45,10,#b09543,weather
хитон,45,10,#e43167,tool:cloth
стеклышко,45,10,#95212d,stuff
тигр,45,10,#237265,animal
басон,45,10,black,other
пропись,45,10,#8c222c,text
синева,45,10,#380553,color
опилка,45,10,black,other
плечо,45,10,#1f05e5,space
беремя,45,10,black,other
паланкин,45,10,#bbd34b,tool:transp$/tool
подножие,45,10,#1f05e5,space
павильон,45,10,#b688ea,constr:@build
флюгер,45,10,#42be89,hum
пара,45,10,#c67374,schoolmark
мечтание,45,10,#ee3441,ment
аркан,45,10,#ffec83,tool:instr
вилочка,45,10,black,other
стая,44,10,black,other
монист,44,10,black,other
страсть,44,10,#c71b90,workmus
выгода,44,10,black,other
божество,44,10,#42be89,hum
ось,44,10,#94911b,org
хоровод,44,10,black,other
пантера,44,10,#237265,animal
моне,43,10,black,other
ширма,43,10,#8814ea,tool
пустынь,43,10,#1f05e5,space
заплата,43,10,black,other
комок,43,10,black,other
цата,43,10,black,other
окоем,43,10,black,other
букет,43,10,black,other
служба,43,10,#150976,проф деятельность?
иголка,43,10,#efe01e,hair$
возок,43,10,#3d30d2,tool:transp
коза,43,10,#8e78db,animal$
офицер,42,10,#aad97a,tool/tool:game
скамья,42,10,#e8ba0e,tool:furn/tool
державин,42,10,black,other
перезвон,42,10,#82c903,sound
достоинство,42,10,#9f0e8e,humq
здоровье,42,10,#0b0276,physiol
цацка,42,10,black,other
капитал,42,10,black,other
плетение,42,10,#1170f5,workart
форель,42,10,#df14ee,animal:@fish/food
начало,42,10,#032bb5,asp
бордюрчик,42,10,black,other
язычок,42,10,#8814ea,tool
украшенша,42,10,black,other
фаллос,42,10,black,other
обводка,42,10,#78a885,глагол
гомбор,42,10,black,other
факел,42,10,#83dac8,tool:@light
штандарт,41,10,#b8ef35,sign:знамя
экран,41,10,#8814ea,tool
кроха,41,10,#42be89,hum
символ,41,10,#4a85e5,sign
