noun,zolotoj,zolotistyj,colour,code
муха,324,51,#237265,animal
слой,321,42,#5e6a00,group
шелк,317,882,#95212d,stuff
чешуйка,313,367,#efe01e,hair$
одуванчик,306,58,#95f3c1,plant
отсвет,290,370,black,other
оттенок,288,4254,#380553,color
зайчик,285,44,#6bcfb6,light
тело,282,285,#a43fa0,thing
пух,278,248,#e883b2,hair
початок,276,42,#fe8735,fruit/food
загар,269,834,#4dae50,stuff$
песочек,268,45,black,other
вечер,254,99,#32365e,action
лак,253,190,#95212d,stuff
струйка,251,53,black,other
перелив,244,159,#82c903,sound
покрывало,244,48,#5dcb2f,tool:@bedding
дым,243,152,#95212d,stuff
бородка,237,432,#e883b2,hair
тень,235,196,#42be89,hum
окантовка,235,44,#1f05e5,space
стекло,230,94,#95212d,stuff
цветочек,219,49,#5fc6ea,hum$@
жатва,214,70,#096786,time
глазок,211,97,#1f05e5,space
лазурь,210,81,#95212d,stuff
гроздь,204,141,black,other
металл,201,116,#95212d,stuff
груда,198,63,#f8eda9,quant:max
лучик,194,60,black,other
щетина,191,186,#e883b2,hair
масть,190,683,#380553,color
облачко,185,235,black,other
стружка,178,117,#95212d,stuff
напиток,175,389,#f9fe92,stuff/food/liq
зарево,170,158,#6bcfb6,light
рябь,170,175,#0b0276,physiol
марево,168,202,#95212d,stuff
свеча,166,52,#9814c3,форма
бок,164,74,#1f05e5,space
даль,163,96,#1f05e5,space
бровь,159,581,black,other
слюда,148,93,#95212d,stuff
чуб,148,307,#e883b2,hair
волосик,146,192,black,other
кора,144,67,#95212d,stuff
тепло,140,41,#ce91d9,psych:emot
косичка,137,49,black,other
луг,134,51,#1f05e5,space
усик,133,267,#e883b2,hair
пена,131,57,#95212d,stuff
лютик,130,111,#95f3c1,plant
мерцание,128,69,black,other
мгла,119,171,#dcc1b7,light/neg
стебель,118,47,black,other
занавес,115,73,#8814ea,tool
масло,115,102,#95212d,stuff
точечка,111,44,black,other
бархат,110,138,#95212d,stuff
зрачок,105,194,black,other
овал,104,42,#48bcf2,form:geom/space
сок,101,124,#f9fe92,stuff/food/liq
веер,95,45,#b176e8,form
пятнышко,87,61,black,other
челка,87,62,#e883b2,hair
корочка,78,1449,#057694,doc
смородина,71,868,#95f3c1,plant
груша,69,70,#95f3c1,plant
скирда,65,48,black,other
парик,64,73,#8814ea,tool
сумрак,63,217,#6bcfb6,light
шевелюра,61,151,#e883b2,hair
стерня,61,131,#3d93a3,space/plot
дыня,60,91,#95f3c1,plant
жир,58,46,#95212d,stuff
улей,57,48,#8814ea,tool
пиво,56,122,#f9fe92,stuff/food/liq
влага,55,174,#95212d,stuff
налет,53,294,#a7f3e2,дополнитель
охра,53,1136,#95212d,stuff
гамма,52,173,black,other
копна,48,128,black,other
вкрапление,48,43,#4cb1be,изменение положения?
серебро,47,750,#95212d,stuff
чай,43,175,#f9fe92,stuff/food/liq
обои,42,158,#95212d,stuff
сумерки,42,57,#b85f51,weather/light
столп,41,44,#42be89,hum
медаль,199847,10,#4a85e5,sign
век,87591,10,#096786,time
монета,83361,10,#7111eb,money:banknote
фонд,51607,10,#94911b,org
запас,51486,10,black,other
прииск,45823,10,#1f05e5,space
рубль,28564,10,#7111eb,money:banknote
середина,26221,10,#1f05e5,space
часы,22308,10,#55cbb3,tool:device:@measur:metr
дело,19900,10,#94911b,org
цепь,19666,10,#b176e8,form
содержание,18765,10,#b86daa,poss:приобретение
зуб,18273,10,#8814ea,tool
сечение,18118,10,#b4bbad,impact
крест,18015,10,#4a85e5,sign
тиснение,17610,10,#325505,pattern
оруденение,17342,10,black,other
стандарт,16214,10,black,other
промысел,15939,10,#1f05e5,space
цепочка,15707,10,#b176e8,form
украшение,15116,10,#794840,access
казна,15059,10,#94911b,org
валюта,14504,10,black,other
очки,13662,10,#8814ea,tool
время,13020,10,#2517af,time:period
вещь,12988,10,#862aaf,workart/workmus/workdram/workcin/text
шитье,12892,10,#7951f5,impact:creat
молодежь,12286,10,black,other
миллиард,12207,10,#504ab4,card
перстень,11993,10,#794840,access
правило,11747,10,#ffec83,tool:instr
серьга,11093,10,#794840,access
руно,11085,10,#95212d,stuff
слово,10288,10,#8c222c,text
рудник,9895,10,#1f15ab,org/space
браслет,9122,10,#794840,access
петушок,9088,10,black,other
чаша,8853,10,#aba6f7,space/form
телец,8645,10,#237265,animal
промышленность,8408,10,black,other
обрез,8200,10,#9c02f9,tool:weapon
сердце,8163,10,#ce91d9,psych:emot
лихорадка,8118,10,#c433f0,disease
час,7941,10,#2517af,time:period
шпага,7851,10,#9c02f9,tool:weapon
рама,7677,10,black,other
руда,7664,10,#95212d,stuff
оружие,7652,10,#9c02f9,tool:weapon
пластинка,7335,10,#8814ea,tool
тельце,7299,10,#95212d,stuff
пояс,7292,10,#1f05e5,space
изделие,7198,10,#a43fa0,thing
табакерка,7078,10,#8814ea,tool
яйцо,6994,10,#85d1cd,food
клетка,6577,10,#8814ea,tool
бляшка,6548,10,black,other
резерв,6368,10,#42be89,hum
блюдо,6079,10,#85d1cd,food
сабля,5947,10,#9c02f9,tool:weapon
человек,5866,10,#42be89,hum
пора,5672,10,#096786,time
венец,5662,10,#794840,access
жила,5633,10,#42be89,hum
