noun,malenkij,kroshechnyj,colour,code
трубочка,1262,49,#49b81e,food/изделие
дитя,1244,52,#e7cb93,hum
лавчонка,1240,47,black,other
здание,1239,42,#a406c3,constr
тень,1238,107,#e7cb93,hum
ротик,1226,256,black,other
огород,1224,75,#9f8abf,space/plot
княжество,1219,46,#495f97,org$/space
каюта,1215,210,#682f9d,room
эстрада,1215,137,#bcabd8,space
территория,1211,190,#bcabd8,space
место,1211,194,#a62bc2,tool
номер,1208,78,#d78aa6,sign/tool
ключик,1193,66,black,other
племянница,1192,61,#1a2a19,hum:kin
царство,1181,44,#495f97,org$/space
рассказик,1170,129,black,other
искорка,1166,50,black,other
количество,1154,55,#7edee3,quant
щель,1153,71,#bece90,space/constr
отрезок,1139,83,#bcabd8,space
кустик,1114,40,black,other
кабинетик,1108,184,black,other
штучка,1099,44,#e7cb93,hum
срок,1094,57,#acbddc,time:moment
искра,1076,117,#41db34,manif
кроватка,1068,42,black,other
келья,1060,94,#682f9d,room
землянка,1038,69,#682f9d,room
фонарик,1036,54,black,other
девчушка,1035,41,black,other
кисть,1030,85,#d66cb6,food
пламень,1009,119,black,other
горсточка,992,45,black,other
шляпка,980,78,#b4ff8d,tool:cloth
комнатенка,948,156,black,other
след,947,64,#f47fad,остаток
заводик,943,49,black,other
изображение,928,44,#66616f,workart
самолетик,923,60,black,other
коридорчик,921,42,black,other
родинка,917,141,black,other
блокнот,908,44,#92113f,book
щелочка,896,167,black,other
зернышко,881,103,black,other
создание,876,364,#4d9ece,hum:supernat
ранка,860,69,black,other
образок,836,54,black,other
полоска,820,92,black,other
оазис,811,110,#bcabd8,space
усилие,776,42,#a6668d,?
растение,773,83,#eb239e,plant
мушка,767,131,#853dd5,spot
клетушка,766,235,#682f9d,room
плацдарм,765,231,#bcabd8,space
флигелек,765,80,black,other
скамейка,729,116,#41f52d,tool:furn/tool
цыпленок,720,41,#702dab,animal
песчинка,684,105,black,other
радуга,678,42,#bcabd8,space
паровозик,662,75,black,other
зерно,646,59,#d66cb6,food
часики,644,116,black,other
хата,628,43,black,other
значок,626,40,#5f109c,sign
сказка,616,45,#59f0b4,text
комок,612,57,black,other
лоскуток,611,43,black,other
насекомое,609,189,#702dab,animal
червячок,608,52,black,other
закуток,596,126,#bcabd8,space
часы,592,134,#119164,tool:device:@measur:metr
ломтик,589,109,black,other
шанс,555,89,black,other
палисадник,555,56,black,other
аппарат,540,41,#ef5046,group
лапка,532,60,#5f109c,sign
флакончик,531,98,black,other
платочек,527,112,black,other
балкон,518,43,#bcabd8,space
сени,510,83,#682f9d,room
движение,509,74,#0a596b,move
член,503,50,#912ccd,word
состояние,489,59,#f03d2c,psych/physiol
мальчуган,485,46,black,other
кулачка,479,43,black,other
блокнотик,476,57,black,other
личинка,474,64,#702dab,animal
щелка,469,63,#bcabd8,space
муравей,439,42,#702dab,animal
просвет,437,45,#a6668d,?
козырек,419,97,black,other
зайчонок,399,45,#702dab,animal
лужайка,393,54,#bcabd8,space
морщинка,388,52,black,other
крепостца,383,62,black,other
буковка,380,65,black,other
слезинка,376,97,black,other
полуостров,355,41,#bcabd8,space
силуэт,354,59,#bcabd8,space
придаток,351,87,black,other
истина,348,126,black,other
каютка,340,74,black,other
губка,324,76,#a62bc2,tool
льдинка,313,56,black,other
флакон,303,43,#a62bc2,tool
меньшинство,297,268,black,other
уголек,290,66,black,other
семя,270,90,#db9b1f,stuff
копытце,262,64,black,other
подобие,260,42,black,other
туфелька,244,94,black,other
пылинка,235,60,black,other
пуговка,231,92,#aceef8,form
микрофон,228,61,#a62bc2,tool
идейка,216,194,black,other
зрачок,209,53,black,other
надел,197,213,#bcabd8,space
башмачок,163,42,black,other
болонка,156,45,#702dab,animal
туфля,149,74,black,other
реформа,144,75,#cb7097,изменение:каузация
минутка,136,42,black,other
песик,122,57,black,other
переживание,90,117,#7d7ae0,psych:emot
веснушка,85,101,black,other
окурок,69,55,#a374e2,thing
отражение,66,45,#2b4495,ment?
соринка,53,70,black,other
николка,49,86,black,other
фортепьяно,41,53,black,other
трагедия,16947,10,#58ae77,workdram
читатель,14789,10,#e7cb93,hum
народ,11908,10,black,other
герой,10525,10,#e7cb93,hum
брат,8433,10,#e7cb93,hum
дело,8360,10,#d77d8b,org
радость,7768,10,#07cc4b,hum@$
деревня,7653,10,#e7cb93,hum
поэма,7556,10,#59f0b4,text
дверь,7232,10,#bcabd8,space
повесть,7067,10,#7b558d,speech
друг,6442,10,#e7cb93,hum
хитрость,5836,10,black,other
коллектив,5248,10,#ef5046,group
шедевр,5021,10,#8b23ec,workart/workmus/workdram/workcin/text
сестра,4821,10,#e7cb93,hum
чиновник,4583,10,#e7cb93,hum
чудо,4508,10,black,other
победа,4450,10,black,other
слабость,4354,10,#e52e9d,psych:emot?
тайна,4195,10,#022343,ment
крепость,4140,10,#1c0892,param
семья,4081,10,#e7cb93,hum
сестренка,4075,10,#e7cb93,hum
грудь,3992,10,black,other
история,3918,10,#59f0b4,text
зритель,3859,10,#e7cb93,hum
княгиня,3820,10,#e7cb93,hum
подарок,3749,10,#a374e2,thing
общество,3643,10,#d77d8b,org
пьеса,3471,10,#632056,workmus
гражданин,3411,10,#e7cb93,hum
вещь,3404,10,#8b23ec,workart/workmus/workdram/workcin/text
пример,3364,10,#59f0b4,text
отступление,3339,10,#59f0b4,text
ребята,3286,10,black,other
неприятность,3280,10,black,other
речушка,3271,10,black,other
роман,3265,10,#d99aac,inter
внук,3253,10,#e7cb93,hum
статья,3246,10,#f7d7b5,hier
драма,3205,10,#59f0b4,text
тележка,3198,10,#a62bc2,tool
книга,3116,10,#59f0b4,text
картинка,3106,10,#a374e2,thing
зеркало,3013,10,#644c98,param$
фотография,2984,10,#d77d8b,org
праздник,2955,10,#832575,action
саша,2873,10,black,other
птица,2865,10,#478faf,hum$
круг,2855,10,#aceef8,form
девушка,2844,10,#96b684,hum:kin$/hum
ресторанчик,2837,10,black,other
картина,2802,10,#66616f,workart
принц,2779,10,#e7cb93,hum
бородка,2751,10,#6ea0e5,hair
ошибка,2694,10,black,other
ребятишки,2685,10,black,other
открытие,2684,10,#022343,ment
дверца,2658,10,#a62bc2,tool
село,2655,10,#bcabd8,space
лошадка,2652,10,#1a8c35,toy
просьба,2599,10,#7b558d,speech
зубчик,2599,10,#a62bc2,tool
скамеечка,2533,10,black,other
община,2508,10,#ef5046,group
храм,2504,10,#bcabd8,space
школа,2393,10,#d77d8b,org
нация,2365,10,#fd353d,org$
ладонь,2363,10,black,other
музей,2362,10,#d77d8b,org
душа,2359,10,#e7cb93,hum
библиотека,2342,10,#d77d8b,org
чемодан,2337,10,#a62bc2,tool
партия,2320,10,#e7cb93,hum
часовня,2307,10,#a406c3,constr
лебедь,2285,10,#702dab,animal
комедия,2238,10,#a452db,behav
сынишка,2227,10,black,other
фельетон,2202,10,#59f0b4,text
услуга,2195,10,#005788,inter:содействие
секрет,2137,10,#ef5046,group
записочка,2116,10,black,other
газета,2106,10,#d4ddc8,text/media
шапочка,2085,10,black,other
новелла,2070,10,#59f0b4,text
событие,2067,10,black,other
судно,2067,10,#75a92c,tool:transp
бумажка,2049,10,#402168,money:banknote
огонь,2047,10,#325ebc,manif:disease
лампа,2015,10,#b2c94f,tool:device:@light
портрет,2014,10,#59f0b4,text
сосуд,2010,10,#79a298,tool:dish
успех,2008,10,black,other
внучка,1996,10,#1a2a19,hum:kin
хижина,1976,10,#d54d87,constr:@hut
работа,1961,10,#8b23ec,workart/workmus/workdram/workcin/text
река,1958,10,#d68d0d,quant:max
корабль,1951,10,#75a92c,tool:transp
бутылочка,1941,10,black,other
компания,1936,10,#d77d8b,org
вопрос,1935,10,#022343,ment
удовольствие,1933,10,#7d7ae0,psych:emot
солдат,1932,10,#e7cb93,hum
поправка,1930,10,#cb7097,изменение:каузация
актер,1929,10,#e7cb93,hum
слово,1928,10,#59f0b4,text
лавочка,1923,10,#1dc069,org/constr
глоточек,1908,10,black,other
ямка,1896,10,#bcabd8,space
недостаток,1894,10,#2c9338,отсутствие
земля,1886,10,#bcabd8,space
брошюра,1870,10,#59f0b4,text
пушка,1865,10,#57faab,tool:device
пароход,1864,10,#75a92c,tool:transp
ресторан,1861,10,#d77d8b,org
формат,1850,10,#1c0892,param
улочка,1845,10,black,other
пароходик,1843,10,black,other
сборник,1839,10,#a5b0da,text/mediа
магазин,1813,10,#274f18,tool/space
речь,1810,10,#7b558d,speech
модель,1808,10,#20b153,hum/prof
племянник,1798,10,#1a2a19,hum:kin
имение,1789,10,#bcabd8,space
суденышко,1769,10,black,other
разница,1764,10,black,other
ячейка,1763,10,#bcabd8,space
завод,1755,10,#43178d,impact
колокол,1745,10,#465a52,tool:mus
бухта,1722,10,#1e8d3e,space/reservoir
братишка,1703,10,#e7cb93,hum
война,1687,10,#d99aac,inter
стаканчик,1686,10,black,other
спектакль,1686,10,#832575,action
щенок,1676,10,#478faf,hum$
кладбище,1676,10,#bcabd8,space
правда,1672,10,#022343,ment
ушко,1669,10,#15eadd,stuff/food
мальчишка,1666,10,#e7cb93,hum
камень,1640,10,#4ed7fb,образование
клетка,1631,10,#a62bc2,tool
фея,1629,10,#4d9ece,hum:supernat
девчонка,1624,10,#e7cb93,hum
желудочек,1617,10,black,other
ручей,1616,10,#1e8d3e,space/reservoir
париж,1612,10,black,other
принцесса,1612,10,black,other
ложь,1611,10,black,other
замечание,1599,10,#59f0b4,text
карточка,1597,10,#2e85a3,text$
диванчик,1588,10,black,other
колония,1587,10,#bcabd8,space
недоразумение,1584,10,#d99aac,inter
улица,1578,10,#bcabd8,space
подушка,1576,10,#a62bc2,tool
обстоятельство,1576,10,#912ccd,word
она,1573,10,black,other
ученик,1571,10,#e7cb93,hum
фабрика,1555,10,#d77d8b,org
хозяйка,1555,10,#e7cb93,hum
пациент,1553,10,#e7cb93,hum
вещица,1539,10,black,other
сережа,1536,10,black,other
армия,1536,10,black,other
ладошка,1531,10,black,other
область,1523,10,#bcabd8,space
штрих,1509,10,black,other
ребеночек,1501,10,black,other
царевич,1501,10,#e7cb93,hum
главка,1501,10,black,other
калитка,1480,10,#bcabd8,space
иконка,1475,10,black,other
предприятие,1473,10,#d77d8b,org
предисловие,1473,10,#59f0b4,text
типография,1470,10,#d77d8b,org
опыт,1465,10,#022343,ment
володя,1453,10,black,other
шипик,1438,10,black,other
миша,1438,10,black,other
обезьянка,1432,10,black,other
дочурка,1425,10,black,other
флигель,1421,10,#de0ce5,room/constr
героиня,1420,10,black,other
кружочек,1420,10,black,other
ящик,1413,10,#d77d8b,org
ножницы,1408,10,#4277c6,tool:instr
сумочка,1406,10,black,other
очерк,1402,10,#59f0b4,text
флажок,1384,10,#c7e178,sign/form
горшочек,1376,10,black,other
слушатель,1374,10,#e7cb93,hum
щетинка,1374,10,#6ea0e5,hair
пластинка,1369,10,#a62bc2,tool
кубик,1367,10,#aceef8,form
веточка,1366,10,black,other
дерево,1363,10,#db9b1f,stuff
луна,1358,10,#b57e28,space/astr
ниша,1350,10,#bcabd8,space
изменение,1342,10,#cb7097,изменение:каузация
дворец,1341,10,#a406c3,constr
церковка,1336,10,black,other
театрик,1333,10,black,other
родина,1319,10,#bcabd8,space
мужчина,1317,10,#e7cb93,hum
коля,1316,10,black,other
хозяин,1312,10,#e7cb93,hum
алеша,1307,10,black,other
польза,1302,10,black,other
пистолет,1298,10,#b6913a,tool:weapon
пьеска,1295,10,black,other
глава,1292,10,#e7cb93,hum
хутор,1291,10,#bcabd8,space
печка,1289,10,#57faab,tool:device
жена,1283,10,#e7cb93,hum
ящичек,1281,10,black,other
медвежонок,1278,10,#702dab,animal
капитал,1271,10,black,other
треугольник,1271,10,#ef5046,group
таня,1270,10,black,other
усадьба,1270,10,#bcabd8,space
пушкин,1269,10,black,other
петр,1265,10,black,other
старик,1264,10,#e7cb93,hum
художник,1256,10,#e7cb93,hum
рисунок,1251,10,#7a9992,внешний вид
оркестрик,1251,10,black,other
брошюрка,1241,10,black,other
автобус,1237,10,#75a92c,tool:transp
начальник,1232,10,#e7cb93,hum
наполеон,1230,10,black,other
этюд,1229,10,#632056,workmus
князь,1217,10,#e7cb93,hum
поселение,1212,10,#bcabd8,space
отель,1212,10,#a406c3,constr
сквер,1204,10,#bcabd8,space
собака,1203,10,#702dab,animal
приключение,1198,10,#a6668d,?
палочка,1198,10,#fd2ef7,living
клуб,1194,10,#178b72,constr:@build
неточность,1183,10,black,other
ступня,1170,10,black,other
топорик,1162,10,black,other
стадо,1158,10,black,other
уступка,1156,10,#005788,inter:содействие
караван,1151,10,black,other
маша,1149,10,black,other
наташа,1148,10,black,other
аул,1146,10,#bcabd8,space
барабан,1146,10,#a62bc2,tool
озерцо,1146,10,black,other
автомобиль,1139,10,#75a92c,tool:transp
изба,1135,10,#178b72,constr:@build
квадрат,1130,10,#5f109c,sign
бар,1124,10,#bcabd8,space
выступ,1120,10,#bcabd8,space
черточка,1119,10,#5f109c,sign
обломок,1113,10,#f47fad,остаток
народность,1110,10,black,other
трубка,1110,10,#a62bc2,tool
финляндия,1104,10,black,other
я,1103,10,#e7cb93,hum
товарищ,1103,10,#e7cb93,hum
путешествие,1100,10,#0a596b,move
птенец,1099,10,#702dab,animal
переулок,1096,10,#bcabd8,space
газетка,1080,10,black,other
артист,1076,10,#e7cb93,hum
случай,1069,10,#acbddc,time:moment
лестница,1067,10,#a406c3,constr
подушечка,1064,10,#49b81e,food/изделие
негр,1062,10,#e7cb93,hum
папа,1061,10,#e7cb93,hum
корзинка,1060,10,#a62bc2,tool
житель,1058,10,#e7cb93,hum
раковина,1057,10,#bcabd8,space
петя,1056,10,black,other
собрание,1056,10,#d77d8b,org
должность,1055,10,black,other
игра,1055,10,#a6668d,?
дверка,1054,10,#a62bc2,tool
колесо,1052,10,#75a92c,tool:transp
гость,1047,10,#31f8e5,hum$@
стульчик,1045,10,black,other
детишки,1044,10,black,other
поэт,1042,10,#e7cb93,hum
перерыв,1040,10,#0e1f43,time
браунинг,1040,10,#b6913a,tool:weapon
революция,1038,10,black,other
бассейн,1037,10,#bcabd8,space
колечко,1036,10,black,other
палата,1030,10,#d77d8b,org
сосудик,1023,10,black,other
ослик,1021,10,#702dab,animal
сердечко,1020,10,#aceef8,form
братец,1015,10,#e7cb93,hum
объем,1014,10,#1c0892,param
катя,1011,10,black,other
теленок,1010,10,#702dab,animal
величина,1010,10,#e7cb93,hum
музыкант,1006,10,#20b153,hum/prof
передышка,1004,10,#0e1f43,time
рожок,1001,10,#31f886,fruit
кристалл,1000,10,black,other
произведение,997,10,#8b23ec,workart/workmus/workdram/workcin/text
церквушка,994,10,black,other
энциклопедия,992,10,#59f0b4,text
нож,990,10,#1f092a,tool:instr/tablesetting
актриса,983,10,#20b153,hum/prof
масштаб,983,10,#644c98,param$
пучок,981,10,black,other
рецензия,981,10,#59f0b4,text
экземпляр,975,10,#e7cb93,hum
револьвер,973,10,#b6913a,tool:weapon
забота,972,10,#005788,inter:содействие
бог,970,10,#4d9ece,hum:supernat
хатка,970,10,black,other
деньги,968,10,#283f1c,money
копия,964,10,#a374e2,thing
жертва,963,10,#e7cb93,hum
молоточек,961,10,#a62bc2,tool
росточек,961,10,black,other
лужица,961,10,black,other
колесико,960,10,black,other
диван,960,10,#a8c140,tool:furn
дача,958,10,#bcabd8,space
поросенок,958,10,#478faf,hum$
табличка,957,10,black,other
губа,953,10,#682f9d,room
письмецо,952,10,black,other
солдатик,951,10,#0720c2,toy/tool
карта,951,10,#a62bc2,tool
рыба,951,10,#59f0b4,text
лошадь,950,10,#478faf,hum$
дощечка,948,10,black,other
капрал,945,10,#e1d653,hum/armpos
замок,943,10,#bcabd8,space
гимназист,940,10,#e7cb93,hum
жеребенок,939,10,#702dab,animal
тетрадка,938,10,#92113f,book
гробик,937,10,black,other
кукла,931,10,#e7cb93,hum
икона,930,10,#66616f,workart
цифра,929,10,#5f109c,sign
кристаллик,928,10,black,other
лавка,926,10,#1dc069,org/constr
диск,920,10,#3fe3ef,tool/supporttext$
инцидент,917,10,#db50d5,inter:столкновение?
горстка,917,10,black,other
аудитория,917,10,#682f9d,room
рыбешка,913,10,black,other
ваня,913,10,black,other
фирма,909,10,#d77d8b,org
иван,907,10,black,other
скверик,904,10,black,other
крест,903,10,#5f109c,sign
мужичок,900,10,black,other
поляна,892,10,#bcabd8,space
труппа,888,10,#ef5046,group
оговорка,886,10,#7b558d,speech
бизнес,884,10,black,other
бухточка,883,10,black,other
ядро,880,10,#a62bc2,tool
зубец,879,10,black,other
елка,878,10,#832575,action
приемная,878,10,#682f9d,room
колхоз,876,10,#ef5046,group
шип,870,10,#74b107,sound
журнал,863,10,#92113f,book
сюрприз,860,10,black,other
тарелочка,860,10,black,other
углубление,859,10,#bcabd8,space
господин,857,10,#e7cb93,hum
ложечка,849,10,#bcabd8,space
статуэтка,846,10,#f45f7c,workart:скульт
спутник,843,10,#57faab,tool:device
писатель,843,10,#20b153,hum/prof
средство,838,10,#492150,poss
зуб,837,10,#a62bc2,tool
вид,836,10,#022343,ment
