noun,hudoj,toschij,colour,code
ты,169,10,black,other
личико,165,10,black,other
кафтан,164,10,#c1ed8f,tool:cloth
судья,164,10,#eae03e,hum
плотина,158,10,#196fba,constr
надежда,158,10,#eae03e,hum
член,158,10,#a8c70c,word
забор,157,10,#9e5bad,poss
признак,155,10,black,other
она,151,10,black,other
брюнетка,147,10,black,other
капитан,146,10,#eae03e,hum
телеса,138,10,black,other
брюнет,137,10,#eae03e,hum
вещь,130,10,#b9c044,workart/workmus/workdram/workcin/text
гардероб,130,10,#f84370,room
ремесло,127,10,black,other
стихосложение,127,10,black,other
наклонность,124,10,black,other
содержание,124,10,#25b307,poss:приобретение
хозяин,121,10,#eae03e,hum
горшок,119,10,#f67963,tool
действительность,118,10,#a3cb98,be:exist?
защитник,113,10,#eae03e,hum
смотрение,111,10,black,other
стих,110,10,#dbc978,psych:emot?
черт,109,10,#eae03e,hum
навык,107,10,#8f6a06,ment?
запястье,106,10,#65455c,access
начало,105,10,#7099fd,asp
умысел,104,10,#28a201,ment
я,103,10,#eae03e,hum
употребление,103,10,black,other
блондинка,102,10,black,other
пальто,102,10,#c1ed8f,tool:cloth
рукавица,102,10,#c1ed8f,tool:cloth
общество,101,10,#3b5c33,org
перевод,101,10,#494dfe,text
понятие,100,10,#28a201,ment
род,100,10,#1fae69,like
мастеровой,100,10,#68c3d7,hum/prof
жребий,99,10,black,other
здоровье,99,10,#86105c,physiol
армяк,98,10,#c1ed8f,tool:cloth
выбор,98,10,black,other
корм,98,10,#61f391,food:fodder
дъло,95,10,black,other
устройство,94,10,#7919f3,tool:device
голос,94,10,#28a201,ment
славушка,93,10,black,other
свойство,90,10,#792f64,inter
помещение,90,10,#e24a48,put
направление,90,10,#507f57,doc
писец,90,10,#68c3d7,hum/prof
раб,90,10,#eae03e,hum
служба,90,10,#5bc270,проф деятельность?
шутка,88,10,#8a4b28,workdram
рубашонка,88,10,black,other
парнишка,87,10,#eae03e,hum
мастерство,87,10,black,other
арестант,86,10,#eae03e,hum
след,84,10,#15bd22,остаток
исход,83,10,#f5869e,move
толк,82,10,#28a201,ment
запах,82,10,#1dcf73,smell
честь,82,10,black,other
мать,81,10,#eae03e,hum
вкус,81,10,#e55be8,humq
