существительное	холодный	ледяной	прил1 // прил2
долина	80	49	1
изваяние	70	60	1
грань	63	42	1
клин	63	2976	0
хрусталь	62	60	1
путь	61	69	0
колонна	61	75	0
полюс	59	52	1
замок	59	184	0
купол	58	2166	0
громада	58	977	0
образование	56	2886	0
буря	55	59	0
обруч	54	273	0
стихия	54	212	0
шарик	53	459	0
водопад	52	58	0
судорога	52	40	1
цилиндр	52	180	0
ад	49	44	1
сугроб	48	40	1
мешок	47	338	0
площадка	46	725	0
прозрачность	46	80	0
зерно	45	547	0
рябь	44	632	0
паутина	44	48	0
покрывало	43	72	0
град	42	67	0
обломок	42	462	0
цемент	42	226	0
кружка	42	60	0
