существительное	крошечный	маленький	прил1 // прил2
отражение	45	66	0
горсточка	45	863	0
бугорок	45	3054	0
просвет	45	437	0
лодка	44	4804	0
крестик	44	1633	0
штучка	44	988	0
изображение	44	874	0
лодочка	44	1860	0
блокнот	44	908	0
туфельки	44	51	0
царство	44	884	0
лоскуток	43	611	0
флакон	43	303	0
балкон	43	518	0
ванная	43	65	0
мешочек	43	1901	0
племя	43	958	0
хата	43	454	0
башмачок	42	163	0
радуга	42	678	0
зеркальце	42	4489	0
усилие	42	714	0
подобие	42	260	0
минутка	42	136	0
муравей	42	350	0
лист	42	1224	0
коридорчик	42	921	0
здание	42	1055	0
кроватка	42	924	0
девчушка	41	948	0
палатка	41	1413	0
аппарат	41	540	0
тень	41	777	0
полуостров	41	270	0
цыпленок	41	720	0
кустик	40	1114	0
семя	40	74	0
значок	40	626	0
происшествие	40	1631	0
